"video_id","title","published_at","channel_title","duration"
"_JdEQpY2wLw","James Orengo SHOCKED By IEBC Fraud In Form 34s Presented To Supreme Court","2017-08-25T17:18:10.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT3M4S"
"njnG3SS8r0U","Ani Akumpanya Ettaka E Jinja?","2017-08-25T16:39:42.000Z","NBS TV Uganda","PT2M45S"
"52zGL3_qBiY","NASA People's Opinion 2017 With Babu Owino,Victims Of Police Brutality & Political Activist Jeddy","2017-08-25T15:38:03.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT46M20S"
"Bh6nVFCvP5c","Msimamo wa NASA: James Orengo adai kua IEBC ilighushi Uchaguzi","2017-08-25T15:34:47.000Z","KTN News Kenya","PT4M1S"
"lqN76kaTLxU","What Do Far Left Activists Want?","2017-08-25T14:26:01.000Z","Sargon of Akkad","PT27M30S"
"bM21qWmbWTw","Otile Brown hint of something in store for his fans","2017-08-25T14:03:01.000Z","Hot 96 FM Kenya","PT1M23S"
"ODWU4cKCMt0","IEBC in Trouble for Filing FAKE Papers to Supreme Court","2017-08-25T12:40:26.000Z","TopGuy360 KENYA","PT3M6S"
"COqGduG5R-Q","Governor Narasimhan Speech After Pooja at Khairatabad Ganesh 2017 | Hyderabad | Studio N","2017-08-25T11:44:21.000Z","Studio N News","PT1M43S"
"xC5CuWmTMd0","President  Kenyatta denies his win was Computer generated","2017-08-25T10:10:06.000Z","K24TV","PT4M45S"
"XPTdP7jkO6c","NASA's legal team returns to Supreme Court as supporters hold protest","2017-08-25T09:55:35.000Z","KTN News Kenya","PT4M27S"
"kh97SBwC5Zc","Aden Duale gives the following condition to NASA's newly elected MPs","2017-08-25T09:03:42.000Z","KTN News Kenya","PT8M15S"
"VNrnphzvn4o","Aden Duale hits at NASA MPs after their planned boycott","2017-08-25T08:56:24.000Z","KTN News Kenya","PT3M2S"
"jwwC9xliL6g","Kisumu residents hold a requiem mass for baby Pendo a victim of alleged police brutality","2017-08-25T08:39:48.000Z","KTN News Kenya","PT8M21S"
"C5p72vWJrXY","How Jubilee Will Use Violence To Crush Secession","2017-08-25T07:49:51.000Z","Kumekucha Chris","PT6M37S"
"ngYRzJW1DJw","PM Narendra Modi great speech Agriculture on Golden Jubilee of Bhartiya Agro in Pune","2017-08-25T04:16:55.000Z","Modi Fan Club Official","PT29M4S"
"42__mQIHwdw","PM Narendra Modi great speech Agriculture on Golden Jubilee of Bhartiya Agro in Pune","2017-08-25T03:10:27.000Z","Modi Yogi","PT29M4S"
"w4AoKTwaoco","Felicitaion Speech by Salim Kavumkal,honoring the Vicars of St  Stephen's at the Jubilee","2017-08-25T01:27:08.000Z","Knanaya Us","PT13M21S"
"HVHIcoaWAGg","TPS again fails to notify SIU about alleged police brutality","2017-08-24T22:40:28.000Z","CityNews Toronto","PT3M27S"
"UxUGgQVzfuo","Euclid Cop With History Of Police Brutality Put His Knee In The Back Of A Black Handcuffed Teen","2017-08-24T21:10:40.000Z","TheAdviseShowTV","PT11M39S"
"zryJkaMbALo","IEBC submits their response to Raila Odinga's presidential petition","2017-08-24T20:46:05.000Z","KTN News Kenya","PT26M11S"
"LDsNz0cCcoM","IEBC files defence against Raila Odinga's petition","2017-08-24T20:12:08.000Z","KTN News Kenya","PT6M40S"
"ohjtXDdgXKI"," The Arrival of Nibiru  -  NASA official images ","2017-08-24T20:00:24.000Z","Jun Jun","PT9M12S"
"Snx2Qcw7ZuM","Why Prof. Michael Wainaina and Ekuru Aukot want to be enjoined in the NASA petition","2017-08-24T19:54:13.000Z","KTN News Kenya","PT29M42S"
"gcZ0rdA-T3M","Kenyans share their views on MPs demands for higher salaries before they are even sworn in","2017-08-24T19:50:07.000Z","Kenya NTV","PT28M22S"
"Xajn_hZND-E","NASA Where Are The Videos & Photos Of The Dark Side Of The Moon During Total Solar Eclipse","2017-08-24T18:19:32.000Z","You Been Exposed","PT4H27M"
"BsYNukNpVGo","Analysing the moral justification of the secession debate in Kenya","2017-08-24T13:17:03.000Z","Kenya NTV","PT33M17S"
"f6IRhobyoYk","Police Brutality on Disabled man at Fracking protest in Blackpool at Preston New Road","2017-08-24T02:17:02.000Z","Steve Spy","PT11M55S"
"lHfGFjsjge4","AMAZING: President Donald Trump & Ivanka Trump NASA Astronauts International Space Station ISS News","2017-08-24T02:12:27.000Z","DONALD TRUMP Live","PT18M46S"
"56T53Rmkvyk","Opinion on NASA people's petition debate part one","2017-08-23T23:18:10.000Z","Charles Stureh","PT47M29S"
"-48vx7gzPBs","NASA People's Petition Debate","2017-08-23T19:13:40.000Z","Kenya News Alert TV","PT47M3S"
"Ikw_PZaKxgo","KTN News Live Stream (Nairobi Kenya) - NASA's Petition at Supreme Court of Kenya","2017-08-23T15:26:33.000Z","KTN News Kenya","PT0S"
"ukX5EhjkCMc","Aug 2017  Kenya Election Concluded","2017-08-23T15:22:12.000Z","The Docterr","PT3M10S"
"bQu91pmFjQ0","CEC Orders Immediate Action against Jagan Comment on Chandrababu Naidu | Nandyal By Poll | Studio N","2017-08-23T11:06:14.000Z","Studio N News","PT3M3S"
"chj9mzDbb9E","[LIVE] Sun, Storms, Mars Discoveries | S0 News Aug.23.2017","2017-08-23T10:59:15.000Z","Suspicious0bservers","PT5M38S"
"B0vZhSQEnq0","Inside Mike Sonko's Million Dollar Mansion. Only the SUPER RICH Can Live Such a Life.","2017-08-23T09:57:24.000Z","E News Kenya","PT3M18S"
"9JQ-DCNmQdI","Trump mocks protesters as they clash with police at rally","2017-08-23T09:24:56.000Z","The Telegraph","PT2M32S"
"_2kQxLCM1xk","Top Advisor crafts plan to have NASA strongholds withdraw from being part of Kenya","2017-08-23T07:16:57.000Z","KTN News Kenya","PT1M23S"
"klDX5DWnXX4","Testing the weight of NASA's Supreme Court Petition","2017-08-23T06:42:53.000Z","KTN News Kenya","PT6M51S"
