"video_id","title","published_at","channel_title","duration"
"U6OJcxW-9qM","Marehemu Wahome Gakuru kuzikwa 18 Novemba","2017-11-08T16:54:18.000Z","KTN News Kenya","PT2M26S"
"44TnvzvPNrA","Governor Ngilu Plays Volleyball LIKE A PRO","2017-11-08T16:39:23.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT34S"
"a_vlXLT0QPs","KITUI COUNTY MINISTERS SWORN IN","2017-11-08T16:33:26.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT2M8S"
"qkJhq41Bruo","LATE NYERI GOVERNOR WAHOME GAKURU BURIAL DATE SET","2017-11-08T16:22:00.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT3M13S"
"kq_5QNldpWI","Elections taking place in certain places within the USA","2017-11-08T16:05:41.000Z","Hot 96 FM Kenya","PT2M55S"
"Chx1A5xAQ6g","NYERI GOVERNOR FUNERAL ARRANGEMENTS","2017-11-08T15:10:34.000Z","Kenya News Alert TV","PT3M13S"
"t1wg4inrnAM","LUO YOUTH OPPOSE THE BOYCOTT","2017-11-08T15:01:13.000Z","Kenya News Alert TV","PT2M47S"
"CrnUWVYMZ4c","Legal scenarios after the death of Nyeri County Governor, Wahome Gakuru","2017-11-08T14:25:42.000Z","KBC Channel 1","PT2M56S"
"AH-_BM3qrss","MIKE SONKO SUSPECTS FOUL PLAY COULD HAVE BEEN INVOLVED IN GOVERNOR WAHOME'S DEATHACCI","2017-11-08T13:44:16.000Z","BREAKING NEWS KENYA","PT2M21S"
"SmLliYI2UWg","Nakuru Governor Lee Kinyanjui recalls vision of the late Gakuru","2017-11-08T13:43:49.000Z","DailyNation","PT2M46S"
"u45-tutyIDY","WETANGULA BATTLE MURKOMEN IN THE SENATE","2017-11-08T13:33:03.000Z","ChannelYakele","PT4M19S"
"wltDtvgk5bg","Mogoeng challenges the business community to not give up on SA","2017-11-08T12:31:03.000Z","SABC Digital News","PT4M6S"
