"video_id","title","published_at","channel_title","duration"
"6eGRf3NME4Q","POLICE TERRORIZE UNIVERSITY OF NAIROBI STUDENTS WHO WERE DEMONSTRATING FOR RELEASE OF BABU OWINO","2017-09-28T17:08:14.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT2M58S"
"Kp9sWHt_F58","BABU OWINO ESCORTED BY THOUSANDS OF CROWD FROM KIBRA LAW COURTS 9/28/17","2017-09-28T16:17:42.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT1M55S"
"KKoasS3FP2M","WILD CELEBRATIONS AFTER RELEASE OF BABU OWINO","2017-09-28T15:44:27.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT4M49S"
"1PHUGBHdOdY","Babu Owino POWERFUL SPEECH After Being Released In Kibra Law Courts Today 9/28/17","2017-09-28T15:40:22.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT10M32S"
"IZgU6UoGpXk","JAMES ORENGO SPEECH AT KIBRA LAW COURT AFTER SECURING BABU OWINO'S RELEASE","2017-09-28T15:35:41.000Z","Kenya News Alert TV","PT12M16S"
"hRulPvrhrNI","BABU OWINO - SONKO NTAKUTIA KITU","2017-09-28T15:23:50.000Z","ChannelYakele","PT9M57S"
"GFEFMQLqPww","NASA LIVE FROM KIBRA LAW COURTS -BABU OWINO RELEASED","2017-09-28T15:14:10.000Z","Kenya News Alert TV","PT12M37S"
"EpyCzmcYr38","NO TO DICTATORSHIP~RAILA ODINGA SAYS COUNTRYWIDE DEMONSTRATIONS WILL BEGIN ON MONDAY10/2/17","2017-09-28T14:45:44.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT12M15S"
"gitl93vDthY","Press Conference: Kenyans will resist layers of conspiracy to kill democracy","2017-09-28T14:42:12.000Z","Raila Odinga","PT2M40S"
"daDY29OBoOQ","Celebrations as Babu Owino is Finally Released. Jubilee Leaders are ashamed!!","2017-09-28T14:01:41.000Z","Lee Makwiny","PT4M52S"
"llkJeK639z8","WILD CELEBRATION BABU OWINO RELEASED SECOND TIME","2017-09-28T13:33:43.000Z","ChannelYakele","PT7M2S"
"J1TClFhm5MM","Raila Announces New dates for Nationwide demonstration","2017-09-28T13:31:04.000Z","ARAP KALYA","PT1M56S"
"VbBIRVXnkaU","COURT REACTION AFTER BABU OWINO WAS SET FREE!","2017-09-28T13:27:50.000Z","Frank Obegi","PT7M1S"
"nJd_VsQw11U","DANCE AND CELEBRATIONS AS BABU OWINO IS RELEASED AT KIBRA LAW COURTS","2017-09-28T13:24:46.000Z","Kenya News Alert TV","PT4M49S"
"Nk0CNPFTiZM","Raila Odinga Calls for Mother of all Demostrations Begining Monday","2017-09-28T13:10:49.000Z","Lee Makwiny","PT2M27S"
"fKFJh3PiwKE","Fresh charges against Embakasi East MP Babu Owino","2017-09-28T13:08:32.000Z","Kenya NTV","PT6M7S"
"nZzTl3N1FGY","University of Nairobi Students Riot |FlipTv","2017-09-28T13:05:47.000Z","Flip Tv Kenya","PT1M51S"
"sGVqxLgz5LI","Kim diz que ameaa de Trump foi declarao feroz de uma guerra e o chama de perturbado","2017-09-28T13:00:03.000Z","Ufologia Landroid","PT3M2S"
"Hcv1dZtqdb4","FULL RAILA PRESS - 28 SEPT 2017","2017-09-28T12:52:39.000Z","ChannelYakele","PT12M15S"
"yikDiSiqZcc","ISIOLO JUBILEE LEADERS SPEECHES AT JP RALLY","2017-09-28T12:49:02.000Z","KENYA LATEST NEWS 2017","PT10M24S"
"Ju6_Fj1GTuw","Raila Odinga REACTS To Jubilee's Plan To Change The Constitution of Kenya","2017-09-28T12:46:00.000Z","TopGuy360 KENYA","PT12M15S"
"ksdue4s_BUc","Raila Odinga: We are calling for peaceful demonstrations throughout the country, starting Monday","2017-09-28T12:35:22.000Z","KTN News Kenya","PT2M50S"
"lAVyv9ZBeNQ","Raila Odinga: Kalonzo Musyoka was barred from leaving the country","2017-09-28T12:32:09.000Z","KTN News Kenya","PT46S"
"OnZAtaVPShY","President Ram Nath Kovind Speech At Golden Jubilee Celebration Of Jesus & Mary College","2017-09-28T12:23:04.000Z","Vande Mataram India","PT9M55S"
"__DbRloPV0o","PASTOR MAWARIRE COURT CASE - LIVE COVERAGE","2017-09-28T11:36:17.000Z","ZimEye Zimbabwe","PT2H19M57S"
"wiVczZs3tPY","PRESSURE MOUNTS OUTSIDE KIBRA COURT AS PEOPLE SEEK BABU OWINO RELEASE","2017-09-28T11:26:56.000Z","Kenya News Alert TV","PT2M15S"
"qOCi3DZLZMc","PROTESTERS STORM KIBRA LAW COURTS TO DEMAND RELEASE OF BABU OWINO WHO WAS RE-ARRESTED","2017-09-28T11:24:06.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT2M15S"
