"video_id","title","published_at","channel_title","duration"
"RIUuDz5v630","Delivering Speech at Ananda Chandra College, Jalpaiguri on Platinum Jubilee","2017-09-01T17:59:05.000Z","Goutam Deb Official YouTube","PT44S"
"i5kGleSP4KE","Kenya Court Nullifies President's Election Win","2017-09-01T17:49:08.000Z","Associated Press","PT1M22S"
"dlRW4wF4gpc","Breaking News September 1,2017Personally I disagree with the Supreme Court decision - Uhuru Kenyatta","2017-09-01T17:43:12.000Z","oromo tube","PT3M4S"
"DDJEO2c3z90","Kenya's suprem court nullifies the last election,calls for a new election in 60 days.","2017-09-01T17:23:07.000Z","Alemneh Wasse","PT10M1S"
"pstTBY_zTjQ","UHURU KENYATTA EXPRESS CONFIDENCE IN WINNING ROUND TWO OF ELECTIONS AFTER HIS ""WIN"" WAS NULLIFIED","2017-09-01T17:19:41.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT1M51S"
"ZPqx4aoM8K8","UHURU KENYATTA STARTS CAMPAIGNS FOR ROUND TWO AFTER HIS ""WIN"" WAS NULLIFIED BY SUPREME COURT TODAY","2017-09-01T17:16:11.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT3M55S"
"WSiGZ6g3_h4","Raila Odinga speech Vs Uhuru Kenyatta's speech after Court's Ruling","2017-09-01T17:14:37.000Z","VKolly Topezpictv","PT17M36S"
"6Fo_6_7Gbzw","WION Gravitas: Kenya's SC annuals last months Presidential Election","2017-09-01T17:11:49.000Z","WION","PT3M16S"
"Bdi2N0B_U0k","Kenya market reaction to Supreme Court ruling: Aly-Khan Satchu","2017-09-01T17:03:38.000Z","SABC Digital News","PT6M52S"
"X313jUAdaWo","PEACE","2017-09-01T16:59:03.000Z","UhuruKenyattaTV","PT3M55S"
"-FxogZkDRhE","Raila's Post Petition Judgment Press Conference - A NEW KENYA HAS BEEN BORN.","2017-09-01T16:52:16.000Z","Kenya News Alert TV","PT19M16S"
