"video_id","title","published_at","channel_title","duration"
"SQAyIXXGrz4","NASA LAWYER AMOLO OTIENDE ELABORATES WHAT RAILA ODINGA MEANT NY PEOPLE'S ASSEMBLY","2017-11-01T17:48:54.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT2M21S"
"SZr9-3_RQSY","KENYAN CONSTITUTION SHOULD BE AMENDED TO INCLUDE POST OF PRIME MINISTER & TWO DEPUTIES~NCCK","2017-11-01T17:06:16.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT10M35S"
"mAWD9pn9mL4","WHAT UHURU KENYATTA DID TO WESTLANDS PRIMARY KCPE CANDIDATES DURING HIS VISIT TODAY 11/1/2017","2017-11-01T16:23:59.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT1M7S"
"cJoIGPf36ec","THE DIRECTION KENYA WILL TAKE AFTER RAILA ODINGA ANNOUNCEMENT","2017-11-01T15:17:28.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT47M42S"
"wskHkKO0VAk","OTIENDE AMOLLO FULL SPEECH TODAY AFTER RAILA'S DECISION","2017-11-01T13:59:48.000Z","Frank Obegi","PT9M39S"
"u7735E81gsI","UHURU KENYATTA DID NOT WIN FAIRLY,FORMS WERE EDITED,OTHERS WERE NOT SIGNED TO LIE ON VOTER TURNOUT","2017-11-01T13:46:31.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT16M56S"
"DfGmLS9Gy9o","Minister Speech On MSP In TAssembly | Part 2 | Studio N","2017-11-01T13:34:41.000Z","Studio N News","PT2M45S"
"4UfhKQ0pATA","Eldoret residents react to leaders' cal for dialogue between Raila Odinga and Uhuru Kenyatta","2017-11-01T13:16:43.000Z","KTN News Kenya","PT3M35S"
"2YbqXson8yM","Kenya faces further poll challenges as divisions remain","2017-11-01T13:12:20.000Z","Kenya Updates","PT3M21S"
"3NXj7br0RKI","Group of Mombasa women celebrate President Kenyatta's win","2017-11-01T11:50:33.000Z","NTV Kenya","PT44S"
"95spjmqHI0w","WHAT NEXT FOR NASA AFTER RAILA ODINGA BIG ANNOUNCEMENT - LISTEN TO OTIENDE AMOLO BREAKS IT DOWN","2017-11-01T11:38:26.000Z","Lee Makwiny","PT9M44S"
"Hqi0Y0xBAeg","Jubilee SHOCKED by OTIENDE AMOLLO'S Articulation of Issues","2017-11-01T11:22:49.000Z","KENYAN NEWS LATEST","PT9M59S"
