"video_id","title","published_at","channel_title","duration"
"AHNre6MvKPw","PETITION TO OUST MIKE SONKO FROM OFFICE AS HE WAS COMPUTER GENERATED~OPINION 2017","2017-09-18T16:31:22.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT39M36S"
"Nk31WFcgho0","RAILA HAS  SUCCESSFULLY TRAPPED UHURUTO IN A POLITICAL CRISIS AS   IEBC FACE CHANGES","2017-09-18T15:20:40.000Z","Kenya News Alert TV","PT1H7M10S"
"p6HFI8HtJ9o","Ruto confident that jubilee party will emerge victorious","2017-09-18T14:39:03.000Z","KBC Channel 1","PT4M26S"
"zJVF-ZfG7ys","Caroline Mutoko: Centonomy Entrepreneur - Mental Shift is needed","2017-09-18T14:36:47.000Z","Caroline Mutoko","PT5M53S"
"nmxR14_bL6Q","FORMER MINISTER OF TOURISM & CULTURE FATOU MASS JOBE TESTIFIES AT THE COMMISSION OF INQUIRY","2017-09-18T14:34:00.000Z","From Gambia","PT40M54S"
"w9ZnCzddu0w","President Trump United Nations General Assembly:  Reforming The UN 9/18/17","2017-09-18T14:17:51.000Z","LIVE ON-AIR NEWS","PT13M17S"
"uEHLAH2p9jw","President Trump: United Nations is not living up to its potential 9/18/17 - UN General Assembly","2017-09-18T14:08:51.000Z","LIVE ON-AIR NEWS","PT4M37S"
"uXOLIr-Juq0","Raila Odinga Calls Uhuru  and Ruto Election thieves and MUST VACATE STATEHOUSE","2017-09-18T13:34:38.000Z","Lee Makwiny","PT19M48S"
"Gpk1mbkfXBQ","William Ruto SHAMELESSLY ATTACKS Raila Odinga Over IEBC Which is NOT Prepared For Elections","2017-09-18T13:17:39.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT3M27S"
"yqzayYOKYuY","MOSES KURIA reveals the SHOCKING truth about RAILA ODINGA","2017-09-18T13:10:25.000Z","William Ruto TV","PT4M55S"
"cJ33HkJRpDg","Hon. Monica Amonding on Age Limit, Finds Consolation in the Bible","2017-09-18T13:05:37.000Z","NBS TV Uganda","PT4M30S"
"9nd6d0k_7so","Nasa now Drags safaricom and Telkom into the IEBC Saga","2017-09-18T12:59:18.000Z","ARAP KALYA","PT8M"
"ytC1SYSN3AM","I lost 15 elections because of my looks, says Deputy Speaker Moses Cheboi","2017-09-18T12:59:00.000Z","Capital FM Kenya","PT2M9S"
"CIy_4bT4EIc","Omubaka Muhammad Nsereko Ayanukudde Poliisi ku Ky'emyaka","2017-09-18T12:50:27.000Z","NBS TV Uganda","PT5M5S"
"Dp1yiSFVWIM","FORMER GOVERNOR OF WEST COAST REGION AMINATA SAFIYATOU HYDARA TESTIFIES AT THE COMMISSION OF INQUIRY","2017-09-18T12:36:34.000Z","From Gambia","PT56M22S"
"syTqH0P8gp4","Raila Odinga FULL Press Conference Today 9/18/17 NASA Press Conference Today","2017-09-18T12:36:34.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT19M48S"
"zp3Vr9QV6SQ","No reforms , no elections NASA demands changes at IEBC","2017-09-18T12:09:50.000Z","Kenya NTV","PT2M31S"
"57SIzyhCdbM","NTA News Panaroma 18/sep/2017","2017-09-18T11:58:22.000Z","NTA News","PT24M4S"
"5Kr07vaKwO4","Over 5 companies ready to install election system in 3 weeks - Raila","2017-09-18T11:32:24.000Z","DailyNation","PT16M43S"
"XY31rNawd-w","RAILA TO EXPOSE SAFARICOM & TELKOM FOR STEALING VOTES","2017-09-18T11:26:36.000Z","ChannelYakele","PT14M17S"
"CRBn3ZyHv_E","Raila Odinga Now Warns William Ruto, NASA Press Conference","2017-09-18T11:22:57.000Z","TopGuy360 KENYA","PT2M48S"
"gB21mVIcxGQ","A Story a Day Episode 18: Rwanda","2017-09-18T11:11:53.000Z","Hot 96 FM Kenya","PT14M14S"
"mqxhNa7DurM","Push for dialogue between NASA and Jubilee by foreign envoys (Part 4)","2017-09-18T10:53:35.000Z","K24TV","PT29M54S"
"Sbj7LzzqKXE","Asif Ali Zardari Press Conference | 18 September 2017 | Bol TV","2017-09-18T10:23:12.000Z","Power TV Talk Shows","PT7M23S"
"AUGMs9lt76Q","Effects of presidential election poll date change to Kenyans","2017-09-18T10:14:08.000Z","Hot 96 FM Kenya","PT13M46S"
"OiQbZ0FVTu0","Narok leaders adopt a door to door campaign strategy in support of Pres.Kenyatta","2017-09-18T10:10:59.000Z","K24TV","PT2M3S"
"etS-b-0n0P8","Push for dialogue between NASA and Jubilee by foreign envoys (Part 3)","2017-09-18T09:26:41.000Z","K24TV","PT23M55S"
"Dl9CooqmJbs","CHEATING ALERT - Obwenzi bwa Diamond Platnumz bugenda kusuula Zari e dalu","2017-09-18T09:10:30.000Z","Trending Uganda","PT29M56S"
"ps083HpDM_w","Hon.   Frank Tumwebaze on Presidential Age Limit Debate","2017-09-18T08:54:40.000Z","NBS TV Uganda","PT54M15S"
"pJExrjjcsz4","Kurung'a Igiri: Itemi ria kanitha uteti-ini","2017-09-18T08:48:44.000Z","Kameme Tv Old","PT48M"
"xGHSiy-Q07M","James Orengo Campaigns for Raila in Meru |FlipTv","2017-09-18T08:43:32.000Z","Flip Tv Kenya","PT3M10S"
"KcPBptvmRyM","Stakeholders meet to discuss the PSV ban from the CBD","2017-09-18T08:38:06.000Z","KTN News Kenya","PT8M7S"
"VMsdLpQLEyQ","LIKE IT OR NOT THERE SHALL BE NO CHANGES AT IEBC WILLIAM RUTO","2017-09-18T08:09:45.000Z","BREAKING NEWS KENYA","PT1M59S"
"Ul0T9an6kzk","No elections till our demands on IEBC reforms are considered - James Orengo","2017-09-18T07:26:57.000Z","DailyNation","PT3M26S"
"a2YbGCmYV9I","Kikuyus will NOT Vote For Uhuru. Raila will win Kikuyu Votes After He Did This to Kikuyus","2017-09-18T07:03:37.000Z","E News Kenya","PT1M32S"
"goQcOHi5jto","K24 Alfajiri: KIM Women In Leadership Conference 2017","2017-09-18T06:09:16.000Z","K24TV","PT15M34S"
"O1gqXz1WFhg","Kwibanga: Tukimurika uciari na ureri Ep 22 Prt 1","2017-09-18T05:39:42.000Z","Kameme Tv Old","PT44M39S"
"tf5qp73TMnE","Al Ghurair, OT-Morpho, under fire secretariat; Why IEBC is wallowing in its own mess - AMLiveNTV","2017-09-18T05:33:39.000Z","Kenya NTV","PT1H18M59S"
"_w-VRkLvVjc","KIHARU MP SAYS UTHAMAKI MUST BE PROTECTED AT ALL COST BY SENDING RAILA TO BONDO","2017-09-18T02:54:50.000Z","Kenya News Alert TV","PT2M29S"
"MuG2daR0RjA","UHURUTO TELLS NASA THAT THERE SHALL BE NO CHANGES AT IEBC","2017-09-18T02:14:20.000Z","Kenya News Alert TV","PT1M42S"
"d_fDucJ1GaE","KENYANS BAYS  FOR RUTO'S BLOOD  AS HE  CALLS RAILA THE MASTER OF COUPS,VIOLENCE & BLOODSHED","2017-09-18T01:47:02.000Z","Kenya News Alert TV","PT7M5S"
"pM7s8dF-sWg","MOSES SHOCK MOURNERS   TO WHAT  HE SAID ABOUT RAILA IN  PRESENCE OF OLE KAPARO","2017-09-17T22:43:54.000Z","Kenya News Alert TV","PT2M59S"
"fFauoJ758cs","Nasa wants IEBC officials sacked as Jubilee stands its ground on fresh presidential election","2017-09-17T22:10:34.000Z","Kenya NTV","PT30M41S"
"qTk7Et3jfuM","Raila Odinga  Speech In NASA Rally In Jacaranda Grounds Embakasi Nairobi County 9 17 17","2017-09-17T21:38:56.000Z","Trending News Kenya","PT43M52S"
"sSXoxwa6bB8","NTA Network NewsLine With Becky from Lagos Centre 17/9/17","2017-09-17T21:38:20.000Z","NTA News","PT1H28M28S"
"__D3hCwuvPQ","Miguna Miguna Calls William Ruto a Demagogue  and Chebukati a Buffoon!!","2017-09-17T20:59:47.000Z","Lee Makwiny","PT5M22S"
"uDeY5PgyGoY","Jubilee woos Nairobi : William Ruto says NASA plans to cause chaos","2017-09-17T20:46:46.000Z","KTN News Kenya","PT4M5S"
"yQDgXK4wnsI","WOMAN WITHOUT LIMITS: DONNIE McCLURKIN PT.2B","2017-09-17T20:11:12.000Z","Rev Kathy Kiuna","PT25M"
"e1yvC6ca9Uk","Raila Odinga HEROIC Reception Ahead Of Jacaranda Rally Today 9/17/17","2017-09-17T19:45:02.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT1M"
"q4HNHyjEdkw","WHO IS DAVID MARAGA~FULL INTERVIEW","2017-09-17T19:40:04.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT31M12S"
"ei9FetX8Zrk","KIEMS kit firm OT MORPHO credibility comes into question as it emerged it  paid bribes","2017-09-17T19:37:22.000Z","Kenya NTV","PT3M21S"
"Po9bsXvVbc8","Check Point : Reforms or no reforms","2017-09-17T19:35:57.000Z","KTN News Kenya","PT42M36S"
"kHv2e_VW_HA","DP Wiliam Ruto claims Nasa want to force a coalition government","2017-09-17T19:30:25.000Z","Kenya NTV","PT2M19S"
"h0DDpSwNdpM","Nasa unveils plans to force 12 officials out, accuses IEBC of colluding with OT Morpho","2017-09-17T19:29:19.000Z","Kenya NTV","PT3M22S"
"TnDdWX9Pgwg","Game Plan 2017: IEBC reforms standoff","2017-09-17T19:28:23.000Z","Kenya CitizenTV","PT27M55S"
"39z1VsQ5pso","Mutamburuko wa Mohoro: Uteti guuku bururi-ini mbere ya githurano gia gucokerwo kia upresident","2017-09-17T18:34:09.000Z","Kameme Tv Old","PT13M12S"
"K97qCESVPJc","Mr Speaker sir : Kenneth Lusaka political history","2017-09-17T18:16:28.000Z","KTN News Kenya","PT4M54S"
"9L8jU_7_9Ck","NASA Campaigns : Raila Odinga says Jubilee and IEBC are partners","2017-09-17T18:07:02.000Z","KTN News Kenya","PT6M8S"
"EC0A7J5YLRM","DP Ruto tells NASA to stop threats of blocking IEBC from presiding over polls","2017-09-17T18:05:56.000Z","K24TV","PT2M59S"
"XrFMDtB5YcQ","Kirirmbi : NASA irenda mendekithia mao marumirirwo [PART 2]","2017-09-17T18:01:37.000Z","iNooro TV","PT24M1S"
"GOkWQYFkHig","Raila: Salvage what you can and run,there will be no election with you in office","2017-09-17T18:01:21.000Z","K24TV","PT3M34S"
"hhihyIzfFps","The golden music of Super Mazembe band...The legend Kasongo","2017-09-17T17:51:05.000Z","Churchill Show","PT6M"
"7CFpBS9-QOY","NASA launches campaign to push out top IEBC officials","2017-09-17T17:20:00.000Z","K24TV","PT3M5S"
"JMm2Fih6k40","KOCHA WA MWADUI FC AFUNGUKA BAADA KUPOKEA KIPIGO DHIDI YA SIMBA SC.","2017-09-17T16:44:44.000Z","ShutikaliTV","PT1M9S"
"zq5fOJpeygo","JUBILEE SAYS THEY ARE DETERMINED TO SEND RAILA TO BONDO","2017-09-17T16:42:47.000Z","Kenya News Alert TV","PT7M50S"
"DaNdmUr7OBI","Sohail Warraich Response On NA 120 Elections","2017-09-17T16:11:13.000Z","Pak Royal Media","PT3M8S"
"6tvu1pbmnlc","Union Home Minister Rajnath Singh Speech at Sankalpa Sabha | Nizamabad | Studio N","2017-09-17T15:14:12.000Z","Studio N News","PT1M30S"
"00Ff3dRlfSo","JOHN KERRY APOLOGIZED TO RAILA - KALONZO","2017-09-17T15:01:24.000Z","ChannelYakele","PT13M51S"
"6yHsdarCCZo","Venkaiah Naidu Speech in ANR National Award 2017 for Movie Director Rajamouli | Hyderabad | Studio N","2017-09-17T14:54:36.000Z","Studio N News","PT20M20S"
"4-3WVa-e1CY","Tammareddy Bharadwaja Speech at Studio N Channel Journalist Training classes | Studio N","2017-09-17T14:30:19.000Z","Studio N News","PT1M11S"
"ezDGLvONYxw","Tammareddy Bharadwaja Speech at Studio N Channel Journalist Training classes | Studio N","2017-09-17T14:29:38.000Z","Studio N News","PT3M17S"
"LvRY9uoKu1Y","OVERWHELMING SPEECHES AT NASA MEGA RALLY AT JACARANDA GROUND TODAY","2017-09-17T13:55:40.000Z","KENYA LATEST NEWS 2017","PT1M35S"
"uuiE5w4lfOY","""We are ready to meet Uhuru and Ruto on a level playing field..."" Raila Odinga","2017-09-17T12:22:28.000Z","KTN News Kenya","PT2M30S"
"xE4L0qmil9c","Full Coverage of President Buhari's Departure To New York For #UNGA 17/9/2017","2017-09-17T10:14:41.000Z","NTA News","PT56M17S"
"OOEPsialKEc","NASA remain adamant on fresh poll boycott if reforms are instigated","2017-09-17T09:59:28.000Z","KTN News Kenya","PT36M26S"
"pKFP71j0B_0","RAILA ODINGA NAMES OFFICIALS FROM 3 COUNTIES WHERE FAKE FORMS WERE USED TO DECLARED PRESIDENTIAL RES","2017-09-17T09:41:54.000Z","KENYA LATEST NEWS 2017","PT10M41S"
"-XcaR6i3aTE","ITS WASN'T NGUNJIRI PETITION BUT UHURU'S ~RAILA ODINGA BOMBSHEL TO UHURU KENYATTA","2017-09-17T08:47:42.000Z","KENYA LATEST NEWS 2017","PT3M44S"
"-w-upaeRG4w","PM Narendra Modi Speech At Inauguration of Sardar Sarovar Dam | Gujarat | Studio N","2017-09-17T08:45:40.000Z","Studio N News","PT2M45S"
"AKqXrFUeK-s","AP CM Chandrababu speech at Regional Conference On Environment- 2017 | Vizag | Studio N","2017-09-17T08:34:48.000Z","Studio N News","PT8M45S"
"sUql_9XW6bk","Do you support Ngunjiri Wambugu's petition to remove CJ Maraga? (Part 1)","2017-09-17T07:31:37.000Z","K24TV","PT12M11S"
"3XElVRWP2A8","Vice President Venkaiah Naidu speech at lay foundation stone for RVTI | Hyderabad | Studio N","2017-09-17T04:40:18.000Z","Studio N News","PT2M30S"
"wOSB_uAI9Lk","OU Professor PL Visweswara Rao Speech at Journalists Training Classes | Part 6 | Studio N","2017-09-16T09:08:44.000Z","Studio N News","PT44M37S"
"AP4xgsDad8Q","Business Editor Brahmachary Speech in Studio N Channel Journalists Training Classes | Studio N","2017-09-16T09:08:37.000Z","Studio N News","PT32M37S"
"-E_T6ZSV1XI","Nara Brahmani Celebrations Speech In Heritage Silver Jubilee Function","2017-09-16T04:56:46.000Z","World News Telugu","PT3M37S"
"HJx5kHYmi5E","Live Stream  St Louis Protest after not guilty verdict","2017-09-16T04:42:45.000Z","lucky43113","PT3H35M1S"
