"video_id","title","published_at","channel_title","duration"
"pc4XBWXE1NY","Raila Odinga: ""Uhuru & Ruto are Murderers"" | KenyanBytes","2017-07-10T17:38:32.000Z","KenyanBytes","PT22M38S"
"pJvNB_h6u0c","Wagombea wakutana na IEBC, Mgongano watokea kati yao","2017-07-10T17:02:13.000Z","Kenya CitizenTV","PT3M"
"pOb-Z8QJX8w","Matokeo ya upasuaji yatarajaiwa hivi karibuni","2017-07-10T17:01:23.000Z","Kenya CitizenTV","PT1M3S"
"dZ2pV3MM2Bw","Marwa asema oparesheni itaanza rasmi kesho","2017-07-10T17:01:02.000Z","Kenya CitizenTV","PT2M13S"
"JyIb3ckdbuU","Jubilee yaendelea na kampeni zake, Turkana","2017-07-10T16:58:25.000Z","Kenya CitizenTV","PT3M29S"
"QE54Rj7kHbM","Transfer Update - Costa Latest, Morata, Lukaku Official, Iheanacho, Perisic, Loftus-Cheek","2017-07-10T16:58:21.000Z","GD66#2","PT5M13S"
"0cnygmGseNI","Voice operated tech set to be a trend in Kenya says Google","2017-07-10T16:55:12.000Z","Kenya NTV","PT1M20S"
"wA5cCW5wSrM","You can't believe Nibiru Planet X appears here, but it's true","2017-07-10T16:40:52.000Z","THE NIBIRU","PT10M11S"
"nIgSR7kt8BE","Update on the road construction on Outering Road","2017-07-10T16:12:55.000Z","KTN News Kenya","PT3M44S"
"PxX5Ludh374","Kabogo na Waititu gucemania igongona-ini ria kuhingura  kanitha","2017-07-10T15:28:09.000Z","iNooro TV","PT2M30S"
"qnvZQPtjuoo","Uhuru and Gideon Moi can't Find the Bible Verse then William Ruto comes to their Rescue","2017-07-10T15:20:04.000Z","E News Kenya","PT1M12S"
"exttdzvgyn0","Gor Mahia yazindua kocha mpya Dylan Kerr: Zilizala Viwanjani pt 1","2017-07-10T14:26:48.000Z","KTN News Kenya","PT13M26S"
"FW4sLyuasXs","Mishahara ya wafanyikazi wa serikali yageuzwa-SRC;Sara Serem: Mbiu ya KTN","2017-07-10T14:18:32.000Z","KTN News Kenya","PT11M41S"
"3GL7CQlsf_I","Structures demolished as NWSC begins work at Centenary park","2017-07-10T14:11:44.000Z","NTVUganda","PT5M3S"
"NkhYvrWcTtU","IEBC meets Presidential candidates over ballot printing tender row","2017-07-10T13:52:50.000Z","Kenya NTV","PT26M45S"
"duJgX6NTAms","Abduba Dida's hilarious remarks when Presidential candidates met IEBC","2017-07-10T13:42:22.000Z","Kenya NTV","PT5M30S"
"JH-eToKNc2k","Uchunguzi wa kifo cha Nkaissery #CitizenExtra","2017-07-10T13:41:41.000Z","Kenya CitizenTV","PT42M54S"
"TPZIE9fIHeI","Dida wants ballot printed on Kirinyanga road","2017-07-10T13:36:29.000Z","DailyNation","PT24M30S"
"ebwlNEklEMA","Utata wa Zabuni kuhusu makaratasi wa uchaguzi wa urais: Mbiu ya KTN","2017-07-10T13:36:19.000Z","KTN News Kenya","PT11M58S"
"Wm3mOj2nI9A","""What are the implications of the High Court ruling to the electoral process?"" Aspirant Wainaina","2017-07-10T13:32:25.000Z","KTN News Kenya","PT2M14S"
"AlJeKynxDxQ","SHOCK AS JUBILEE LEADERS CAN'T LOCATE A VERSE DURING CHURCH SERMON","2017-07-10T13:28:59.000Z","Kenya News Alert TV","PT59S"
"DtjwjCsX-Uk","This Song REALLY DESCRIBES Who Raila Odinga Is","2017-07-10T13:26:43.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT5M36S"
"a748K7GroQc","Raila Odinga Speech In Mtwapa Kilifi County","2017-07-10T13:24:12.000Z","Quick News","PT14M3S"
"yJxwql8rEZw","Unique visitors speak rare sense during IEBC meeting with Presidential candidates","2017-07-10T13:22:22.000Z","KTN News Kenya","PT11M40S"
"rZUsNztHEpk","JUBILEE ARE NOW IN HIGH PANIC AFTER RAILA DELIVERED SPEECH IN KAMUKUNJI","2017-07-10T13:17:29.000Z","KENYAN LATEST VIDEOS 2017","PT21M4S"
"vteWm0d9JkI","JUBILEE NI BABA WAKAMBO ~ RAILA SPEECH IN MTWAPA","2017-07-10T13:17:26.000Z","KENYAN LATEST VIDEOS 2017","PT14M56S"
"5xyAi4lgRP4","Senator Orengo's letter to Chebukati sets serious emotion during IEBC's meeting with candidates","2017-07-10T13:03:17.000Z","KTN News Kenya","PT9M30S"
"qVCpCe9HsxM","Episodic Promo 'NAIROBI DIARIES","2017-07-10T12:44:24.000Z","K24TV","PT29S"
"Sh-dlZLSArE","GIDEON MOI AND WILLIAM RUTO IN CHURCH","2017-07-10T12:40:42.000Z","KENNY TV","PT59S"
"Hr8ppdta8Sw","NASA UPDATE ON Raila Odinga Health,IEBC And Jubilee Interference With Judiciary 7/10/17","2017-07-10T12:39:01.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT10M16S"
"e9eJTBM1xcY","Senior Counsel James Orengo seem to bully Lawyer Ndikindi and Majority Leader Adan Duale before IEBC","2017-07-10T12:38:19.000Z","KTN News Kenya","PT4M4S"
"vAgXYrsN8DY","Mithika Linturi tells Kenyans not to worry about ballot cancellation","2017-07-10T12:19:58.000Z","Kenya NTV","PT1M8S"
"oNnUGZPldG0","Raila Odinga given clean bill of health to resume his normal political schedule","2017-07-10T12:18:09.000Z","Kenya NTV","PT2M41S"
"z8JXwSuXl-A","K24 News Cut With Ian Wafula_10.07.2017","2017-07-10T12:03:10.000Z","K24TV","PT56M35S"
"LsvLuPni3bk","Kindiki Kithure on ballot papers printing row","2017-07-10T11:52:29.000Z","K24TV","PT10M8S"
"3dzW429nGQQ","Jubilee Party Kenya Sec. Gen on ballot papers printing row","2017-07-10T11:50:42.000Z","K24TV","PT6M7S"
"rhdAu-IFuEo","Duale, Tuju's new allegations on court's cancellation of ballot printing","2017-07-10T11:30:10.000Z","DailyNation","PT1M42S"
"QYOXxC7S4M0","Hundreds of senior citizens register for the Inua Jamii fund in Kiambu County","2017-07-10T10:14:24.000Z","K24TV","PT1M37S"
"c0fON0V-l7Q","RAILA'S SPEECH AT KAMUKUNJI, NAIROBI RALLY","2017-07-10T09:52:52.000Z","NOTE BOOK","PT21M13S"
"OG9Hw9ZK5cc","Power Breakfast: Maraga Under Fire","2017-07-10T09:52:17.000Z","Kenya CitizenTV","PT30M16S"
