"video_id","title","published_at","channel_title","duration"
"deOkeh52OZM","DP WILLIAM RUTO REVEALS THE ONLY ISSUE HE WILL DIALOGUE ON WITH RAILA -ON AL JAZEERA","2017-10-29T17:25:40.000Z","InfoKE Trends","PT9M49S"
"OTuf_E4ZrF4","Rw Kheyrre Oo Muqdisho Kusoo Laabtay Lana Kulmay MadaxdaMaamul Goboleedyada","2017-10-29T17:20:05.000Z","Dooya Dheer","PT2M32S"
"eE7v1Bmm2d4","Neo News Headlines - 10:00pm - 29 Oct 2017","2017-10-29T17:04:07.000Z","Neo Tv Network - Official","PT1M18S"
"Dv4-gD2teaY","DP william ruto speeches","2017-10-29T17:01:21.000Z","Mahmud Mohamed","PT3M"
"tqVet_hRlgw","Akatalekeka mu Wiiki - 29 Oct 2017","2017-10-29T16:55:54.000Z","NBS TV Uganda","PT5M"
"3z60c_Uix80","Ruto; hakutakuwepo mazungomzo ya kura baina yetu na Raila","2017-10-29T16:53:13.000Z","Kenya CitizenTV","PT5M32S"
"WsJAe_6gFY8","Raila apuuzilia mbali matokeo yanayotangazwa na IEBC","2017-10-29T16:49:41.000Z","Kenya CitizenTV","PT3M19S"
"u_QPFByHqRM","Thabo Mbeki: Apongeza mfumo wa kupeperusha matokeo ya kura","2017-10-29T16:47:27.000Z","KTN News Kenya","PT1M19S"
"aEZCDi4nRss","Safaricom staff hides after Encounter with this guy |FlipTv","2017-10-29T16:42:54.000Z","Flip Tv Kenya","PT3M26S"
"kCy6V7jdc1k","At Q Ahmed Quraishi | 29 Oct 2017","2017-10-29T16:39:26.000Z","Neo Tv Network - Official","PT35M27S"
"10Zs4_IhwcU","Raila Odinga speech that has shaken Jubilee","2017-10-29T16:27:51.000Z","ARAP KALYA","PT8M23S"
"SMtrtbFLFdk","New London plan | Nasim Zehra @ 8 | 29 October 2017 | 24 News HD","2017-10-29T16:27:34.000Z","24 News HD","PT41M41S"
"Cr3WCq5dOGs","Wafula Chebukati: I confidently say I'm satisfied with the process","2017-10-29T16:24:27.000Z","KTN News Kenya","PT3M27S"
