"video_id","title","published_at","channel_title","duration"
"A58xVOf6oqw","Swearing-in Ceremony of Mutahi Kaiga as the new governor of Nyeri County","2017-11-13T15:04:36.000Z","KTN News Kenya","PT19M45S"
"zA4vmH2REy4","A Cockroach Will Rule Nigeria Successfully - Niyi Osundare","2017-11-13T14:49:27.000Z","SaharaTV","PT11M52S"
"d8Kg4OcGrZ0","Amrit Patel Speech at Chennai Yuvak Mandal Silver Jubilee","2017-11-13T14:31:12.000Z","amrit patel","PT15M57S"
"E-9Ci-jv7G0","6 PM Telugu News | 13th November 2017 | Telanganam | V6 News","2017-11-13T14:28:26.000Z","V6 News Telugu","PT36M26S"
"Sj5-eomrRXQ","GTA San Andreas - Mission #1 - Big Smoke  (HD)","2017-11-13T13:49:32.000Z","playit again","PT3M56S"
"XLrWpPx6YlA","WHAT TO EXPECT ONCE RAILA ODINGA RETURNS FROM USA THIS WEEK","2017-11-13T13:46:10.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT23M26S"
"09peJV8TaEo","CM KCR Excellent Speech over Opposition Parties Comments in TS Assembly | Studio N","2017-11-13T12:30:43.000Z","Studio N News","PT13M26S"
"2_OoGg3sOKI","TRS MLA Durgam Chinnaiah Speech in Question Hour | TS Assembly | Studio N","2017-11-13T10:51:13.000Z","Studio N News","PT45S"
"YQhSJvSJqs4","Jupally Krishna Rao Speech in Question Hour | TS Assembly | Studio N","2017-11-13T10:50:36.000Z","Studio N News","PT43S"
"pLGRI2YLOoQ","NASA Threatens To Swear Raila In","2017-11-13T10:48:42.000Z","Ebru TV Kenya","PT24M10S"
"MdhAZ5KHjtU","BJP MLA Kishan Reddy Speech On Metro Rail In Old City | TS Assembly | Studio N","2017-11-13T10:34:45.000Z","Studio N News","PT47S"
"IAu5WfM144M","KTR Speech On MMTS and Metro Rail Project in TS Assembly Sessions | Studio N","2017-11-13T10:27:55.000Z","Studio N News","PT6M17S"
"xi-bWTIzDPk","PRIME MINSTER AUNG SUI KYE OF MYANMAR FULL SPEECH, EMP0WERMENT OF WOMEN , ASEAN SUMMIT","2017-11-13T08:32:25.000Z","ANONG MASASABI MO?","PT15M44S"
"fIpXpXt9O_s","MUTHAMA KILLED IT DURING HIS SPEECH AT JACARANDA GROUNDS NRM RALLLY NOVEMBER 12,2017","2017-11-13T08:25:38.000Z","Raila Odinga Dayz","PT8M58S"
"fMMTy7phkzc","HII KENYA SI YA UHURU KENYATTA~BABU OWINO SPEECH AT JACARANDA GROUNDS NAIROBI","2017-11-13T08:03:41.000Z","Raila Odinga Dayz","PT6M5S"
"qrFpECj9XUI","Raila, you're not the only reformist - Kiunjuri","2017-11-13T08:03:40.000Z","The Star Kenya","PT4M14S"
"GXaLXKC0nGo","31ST ASEAN SUMMIT HELD IN PHILIPPINES FULL VIDEO - DAY 1","2017-11-13T07:37:19.000Z","ANONG MASASABI MO?","PT1H8M6S"
"yBFcG3Hnz_A","Unlimited Amazon Gift cards |  11/12/2017","2017-11-13T07:30:11.000Z","GetMoney","PT1M25S"
"exVfhKACN38","Unlimited Amazon Gift cards |  11/12/2017","2017-11-13T02:58:19.000Z","GetMoney","PT1M25S"
"w2u7CqMx-jI","Hon. Babu Owino speech at Jacaranda NRM NASA rally","2017-11-12T21:13:32.000Z","Charles Stureh","PT6M5S"
"UqOGu3iGZls","STATEHOUSE MUST LISTEN TO THIS SPEECH BY ORENGO!!!","2017-11-12T20:14:25.000Z","NEWS CUT","PT14M17S"
"PskJLwwCNL4","MUTHAMA AMAZING SPEECH TODAY AT JACARANDA GROUNDS!!!","2017-11-12T19:42:15.000Z","NEWS CUT","PT4M13S"
"PN6H1c4izGE","RAPHAEL TUJU SPEAKS ABOUT KENYATTA'S PETITION RESPONSE FILED ON 12/11/17","2017-11-12T16:39:36.000Z","ONLINE COMMUNITY","PT5M51S"
"OrRWo_C0w18","Uhuru Kenyatta and William Ruto Speeches at the Burial of Bishop Korir.","2017-11-11T19:39:39.000Z","Lee Makwiny","PT28M26S"
"Zow2w_Eep8M","Magufuli's Final WARNING to Kenyans!!","2017-11-11T13:19:00.000Z","KENYAN TUBE","PT40S"
"yA8lWPwxVzw","LIVE: Xi gives statement at APEC Summit","2017-11-10T08:04:06.000Z","Ruptly TV","PT46M38S"
"srpaujNgUTU","Pangulong Duterte, pinasaringan si UN Rapporteur Agnes CallamardSMNI NEWSBREAK 11/10/17 @ 1PM","2017-11-10T06:46:23.000Z","Smni News","PT6M26S"
"7L1pHHTsIoI","FNN: State Dept. Briefing w/ Heather Nauert; House Discusses GOP Tax Reform Plan; State of Air Force","2017-11-10T01:57:12.000Z","FOX 10 Phoenix","PT4H29M16S"
"y5fWZBF7SbQ","Marc Mealy talks APEC trade talks and impact on Vietnam's economy","2017-11-10T01:11:30.000Z","CGTN America","PT5M40S"
"sSbRiQbv4fA","5 minute 25 khabrein | 10th November, 2017","2017-11-10T00:48:21.000Z","IndiaTV","PT4M15S"
"3UmiHrFPxaE","Sanctions on North Korea clearly having an effect: Tillerson","2017-11-10T00:46:23.000Z","ARIRANG NEWS","PT47S"
"2e1Z5yAgjUI","Republicans Plot To BURY Trump To Usher In American Socialism","2017-11-10T00:35:41.000Z","AMTV","PT13M4S"
"RYqSPYImIgw","Jimmiki kammal odi villyada Pappa","2017-11-10T00:30:18.000Z","kala master","PT5M31S"
"h4watIEjTXE","Mueller Alleges Trump Had 5 Russian Hookers In Room, President Gives Him Brutal Surprise","2017-11-10T00:29:46.000Z","AMERICAN NEWS TODAY","PT5M25S"
"baGb2x3ucS4","ALERT: Foreign Country Urges Violent Trump Overthrow, They Went Too Far","2017-11-09T23:19:13.000Z","LATEST NEWS GLOBAL","PT3M43S"
"yH3lLIocrW8","BREAKING: Trump Issues Major N. Korea Announcement, Its A Game-Changer","2017-11-09T23:09:14.000Z","Breaking News Global  24/7","PT4M2S"
"iTRVazLy-Ug","GLOBAL WARMING ALARMIST RUN OUT OF THE BUILDING WHEN HE TALKS ABOUT GETTING US OUT OF CARS.","2017-11-09T23:00:25.000Z","grindall61","PT9M11S"
"cNJZ5smn-GM","Flat Earther Calls Into The War Room","2017-11-09T22:44:31.000Z","War Room","PT12M59S"
"GWZWqqPp0QE","All Of Hollywood In Full Panic Mode After What Actors Sick List Shows He Plans To Expose Any Second","2017-11-09T22:43:54.000Z","AMERICAN NEWS TODAY","PT5M20S"
"yKEmpnsP-wI","Simon Burns MP gives a hilarious Loyal Address","2017-11-09T21:49:11.000Z","Laymore Hattens","PT3M58S"
"188fXQmNsiU","Where does Donald Trump go from here? - The Stream","2017-11-09T20:41:56.000Z","Al Jazeera English","PT24M56S"
"CJFqd9GNduM","USD JPY and NZD USD Forecast November 10 2017","2017-11-09T20:19:40.000Z","DailyForex","PT1M24S"
"NIowu1h9IXY","Answers News  November 9, 2017","2017-11-09T20:10:52.000Z","Answers in Genesis","PT35M16S"
"9XDxPJ7-FbU","Opinion Court | What is the State of Our Nation? #OpinionCourt","2017-11-09T20:00:08.000Z","Kenya CitizenTV","PT1H7M32S"
"EpDJGE3LYZ4","Hollywood Inside The Truth of Hollywood","2017-11-09T19:37:15.000Z","John Donne","PT1H20M28S"
"Byg7Etawm-0","Kenyans in rural areas to be connected to the national grid","2017-11-09T19:17:40.000Z","KTN News Kenya","PT1M43S"
"HtJV04_ioUk","Senate debates Nasa's people's assemblies","2017-11-09T18:59:24.000Z","NTV Kenya","PT2M7S"
"DWoS2lU_pd0","Drama in county assembly as Mandera MCAs fight","2017-11-09T18:53:19.000Z","NTV Kenya","PT2M5S"
"Sl_jQIhfX1k","Did Nikola Tesla Invent an Invisible Boat that Traveled in Time","2017-11-09T18:51:49.000Z","BIBLICAL PROPHECY TV","PT1H35M28S"
"4sbDl8-j9Qo","Catholic Bishops hold mass for late Bishop Korir","2017-11-09T18:49:49.000Z","Kenya CitizenTV","PT2M3S"
"oFENHfJoHc4","Dr. Mutunga Condemns Government for Mistreating Opposition","2017-11-09T18:36:10.000Z","NBS TV Uganda","PT2M14S"
"QGzHWWQ9N5w","""Kenya is leaning towards dictatorship"" Raila Odinga in Washington Congress |Mr. C.E.O","2017-11-09T18:29:31.000Z","Mr. C.E.O","PT2M8S"
"WpFMoOz5gO4","'Both BJP and Cong Not Willing To Work For us': 32-Year-Old Fisherman | #VoicesofGujarat | The Quint","2017-11-09T18:25:27.000Z","The Quint","PT1M18S"
"mS3fhyVGgj8","YOU CAN'T BELIEVE HOW RAILA ODINGA WAS WELCOMED IN WASHINGTON DC","2017-11-09T18:20:33.000Z","Wananchi T.v","PT2M7S"
"MjPvqYRDyWI","SPEECH NI TRILLANES GAGAMITIN EBIDENSIYA SA KANYANG KASONG REBELYON NG MGA ABOGADO","2017-11-09T18:10:03.000Z","Kidlat HDTV","PT15M50S"
"Vch9XPMNPY8","Radiant! Queen Elizabeth ll First Engagement Since Paradise Papers Row - British Museum 2017","2017-11-09T18:08:46.000Z","Royal Reviewer","PT4M32S"
"GXW76BjpYmw","Tippu Sulthan Kannada Song (Tippu jayanthi spcial)","2017-11-09T18:01:15.000Z","Hit ever","PT1M10S"
"KzQz2ubfuhU","City Conference 2017 - Jamat e Islami e Hind","2017-11-09T17:59:30.000Z","Choice News","PT15M49S"
"DfULrLan7mg","Atul dixit ye BJP ka Neta apne ko kahta hai","2017-11-09T17:46:54.000Z","shivesh srivastava","PT3M41S"
"RlrzJoMKn7M","JERRY BROWN PEOPLE NEED TO BE ""BRAINWASHED"" INTO BELIEVING IN CLIMATE CHANGE!","2017-11-09T17:38:00.000Z","Gotcha News Network","PT2M40S"
"-xx1EKkGaLc","Raila Odinga Addresses the whole world from CSIS headquarter Washington DC","2017-11-09T17:30:39.000Z","Kenya Showtime","PT1M38S"
"6ejlusUQcoQ","BOMBSHELL: ROBERT MUELLER CAUGHT WIPING RADICAL ISLAM INFO FROM FBI DATABASE  HERES HIS . ..","2017-11-09T17:23:08.000Z","Breaking News Today","PT9M51S"
"4raaPf4pSQw","Reason Behind Thala Fans Celebrating Vedhalam Even after 2 Years | AjithKumar | Siva","2017-11-09T17:05:07.000Z","south cine talkies","PT1M20S"
"LET4oK83eas","Hours After Trump Gives POWERFUL Speech In South Korea, North Korea Goes Totally BERSERK","2017-11-09T17:03:24.000Z","Breaking News Global  24/7","PT1M52S"
"5tEhkV3psac","Plenary, National Assembly, 9 November 2017","2017-11-09T16:52:40.000Z","Parliament of the Republic of South Africa","PT3H50M"
"rzfxdo2aH5Q","Rais azuru na kuifariji familia ya marehemu Wahome Gakuru","2017-11-09T16:49:17.000Z","Kenya CitizenTV","PT1M57S"
"olJG1HZyl-4","BOXING DRAMA || JUBILEE MCAs and EFP TURNED THE COUNTY ASSEMBLY TO BOXING ARENA || MANDERA ||","2017-11-09T16:44:02.000Z","BREAKING NEWS KENYA","PT1M37S"
"SCfxCiXeGQI","CM Chandrababu Naidu Angry On PM Narendra Modi | AP DGP Issue | AP Political News | Challenge Mantra","2017-11-09T16:30:00.000Z","Challenge Mantra","PT2M30S"
"6DAvwf4M10s","Trump orders world three largest aircraft carriers to kim doorstep","2017-11-09T16:25:32.000Z","Breaking News 24/7","PT3M23S"
"4x2ZrklQQYU","Neil deGrasse Tyson, Talks Global Warming, Death, and Elon Musk [Full Interview]","2017-11-09T16:18:13.000Z","Larry King","PT29M17S"
"Ri6maSu9wLg","          BJP  ","2017-11-09T16:16:51.000Z","M - K - A NEWS","PT1M20S"
"gHPEVLs3R6k","Raila amewashtumu mabalozi wa Ulaya nchini kwa kupendelea Jubilee","2017-11-09T16:11:35.000Z","K24TV","PT3M12S"
"kO29MLghGbE","PINAG-UUSAPAN sa BUONG MUNDO ang MENSAHENG ito ni PRES. DUTERTE sa HARAP ng mga BATA!","2017-11-09T16:10:24.000Z","DT","PT40M52S"
"OWv4p5EeFLQ","President Duterte matindi ang hugot ng kanyang Speech sa Vietnam","2017-11-09T16:10:07.000Z","Angat Pilipino Channel","PT48M21S"
"TEjdxIHAAWI","Viral Video: BJP campaign on ""  "" vs Congress video on ""   "" | Vtv","2017-11-09T16:05:06.000Z","Vtv Gujarati News","PT8M13S"
"U6aJlJvPqZ8","Rt. Hon Raila Amolo Odinga in Washington DC","2017-11-09T15:39:41.000Z","Felix Lilechi","PT1M25S"
"oVmB1nWv6OY","SAFE SHOP INDIA  ,             ,","2017-11-09T15:39:09.000Z","SAFE SHOP INDIA","PT41M7S"
"GOdQ57u1FUg","President Uhuru Kenyatta hold meeting with IEBC","2017-11-09T15:34:40.000Z","KBC Channel 1","PT1M45S"
"KNPeuq0dyfs","Gujarat is set to win BJP's seats so much! Sada bahar times","2017-11-09T15:27:06.000Z","SADA BAHAR TIMES","PT2M3S"
"5ldVBJsqyoo","PRES DUTERTE MASAMA ANG LOOB KAY GEN. SANTIAGO SA DI PAGKONSULTA BAGO NAGDAKDAK SA MEDIA","2017-11-09T15:14:06.000Z","Latest Politics and Philippine News","PT24M58S"
"AbVC7ZpFrlw","Bjp Worker Vs Congress Worker Fight In Ahmedabad Gujarat Election 2017","2017-11-09T15:12:11.000Z","viral trends","PT1M11S"
"00to_9ihy1w","PINASAYA NI DUTERTE ANG MGA TAO SA VIETNAM GAMIT ANG KANYANG MGA MURA PANOORIN NYO","2017-11-09T14:48:00.000Z","PagBabago Ng Pinas","PT14M6S"
"VMkzCdhAAmw","BREAKING NEWS: Mandera MCAs exchange blows at the assembly","2017-11-09T14:30:11.000Z","Hassan Cameroon Tube","PT1M37S"
"0sNT6mYk3Ss","Mwau's petition just an act of revenge over drugs destroyed by Uhuru - Waititu","2017-11-09T14:26:56.000Z","The Star Kenya","PT2M35S"
"MXkttBa1HdQ","Delhi CM Arvind Kejriwal Speaks on Delhi Pollution Crisis","2017-11-09T14:17:01.000Z","PLANET BULLETIN","PT9M51S"
"3Xy5yhdZJ6s","Modi     Lalu   ","2017-11-09T14:03:46.000Z","NMF News","PT1M24S"
"Zxwn1Bb56zk","Vietnam: US 'first victim of globalisation' - Duterte addresses APEC summit","2017-11-09T13:58:29.000Z","Ruptly TV","PT2M20S"
