"video_id","title","published_at","channel_title","duration"
"ZGB2D9dRxwE",""" BE CALM AS WE WAIT FOR JUSTICE. LIFE IS NOT ENDING""~ RAILA","2017-08-31T17:34:46.000Z","Kenya News Alert TV","PT1M47S"
"A9UxLVW-1V8","Kikuyu Diaspora KIGOOCO LIVE","2017-08-31T17:24:22.000Z","Kikuyu Diaspora Television USA","PT42M22S"
"MoVMSh9l6Uk","Abalwa mu Buyinza Bebasinga? Museveni Bwagamba Naye Bobi Wine Awakanye","2017-08-31T16:58:13.000Z","NBS TV Uganda","PT3M30S"
"3l01AT1DVf0","BABU OWINO FORCED TO RESTART HIS OATH AFTER MENTIONING RAILA ODINGA DURING HIS SWEARING IN","2017-08-31T15:48:16.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT1M20S"
"EWGcXSF-IFg","FREE Scammer Check FORUM Launches To Help Foreign Men","2017-08-31T15:28:01.000Z","MailOrderBrideScams.com","PT46M50S"
"65aMkuZEYPg","No BS Proven Way To Meet Good Ukrainian Girls For Marriage!","2017-08-31T14:55:44.000Z","MailOrderBrideScams.com","PT4M33S"
"qbu1PVbJZfc","BABU OWINO SWEARS IN THE NAME OF RAILA                     TIBIM","2017-08-31T14:26:07.000Z","zeru babel","PT1M30S"
"g7TyA6XSrM4","Top Surprises in this years elections","2017-08-31T13:07:27.000Z","Hot 96 FM Kenya","PT8M31S"
"h3AmceZY6w0","Outstanding number of women won in this year's election","2017-08-31T12:32:17.000Z","Hot 96 FM Kenya","PT6M31S"
"UaEFiV8l6HA","Babu Owino Swering In; adds 'Raila Odinga' and 'TIBIM'","2017-08-31T11:43:05.000Z","Frank Kenyan","PT1M21S"
"-hBmbb48WiY","Opposition claims to not participate in elections of key parliamentary positions","2017-08-31T11:38:03.000Z","Hot 96 FM Kenya","PT6M29S"
"d83bjHm9Gfw","K24Alfajiri : Is the modern teenager misunderstood?","2017-08-31T10:56:54.000Z","K24TV","PT41M21S"
"kFltND2_iC4","""You know where I come from, Nitakurushia mawe,"" says Jalas","2017-08-31T10:40:59.000Z","Hot 96 FM Kenya","PT6M17S"
"epUIoRbsY7c","DRAMA IN PARLIAMENT AS BABU OWINO DOES THE UNTHINKABLE","2017-08-31T10:33:19.000Z","TopGuy360 KENYA","PT1M26S"
"bqBiI2_HNd8","BABU Owino Adds Raila Odinga & TIBIM! During Swearing in Parliament","2017-08-31T10:27:44.000Z","AFRO LIFE tv","PT1M15S"
"aFOsdtQckq0","Babu Owino  inserts 'TIBIM' and RAILA words during swearing in! Forced to re-take the oath!","2017-08-31T10:12:33.000Z","Mr. C.E.O","PT1M8S"
"h-jjBEgaf30","Babu Owino mentions Raila and tibim in his swearing in at parliament","2017-08-31T09:56:07.000Z","DailyNation","PT1M46S"
"9hXXuuBh4RM","Babu Owino adds 'Raila Odinga' and 'TIBIM' during swearing in","2017-08-31T09:51:15.000Z","Kenya NTV","PT1M21S"
"2I3zlT-2_9c","BABU OWINO SWEAR OATH IN RAILA & TIBIM IT [ORIGINAL HD]","2017-08-31T09:48:59.000Z","ChannelYakele","PT2M3S"
"ukZg1scyLqU","Raila Odinga named NASA flag bearer","2017-08-31T09:33:37.000Z","silvio walter","PT24M11S"
"VfP5Vl4nRwE","WHY MT KENYAN MAFIA NOT HAPPY WITH LAWYER PAUL MWANGI RAILA ODINGA PERSONAL LAWYER??","2017-08-31T09:15:30.000Z","KENYA LATEST NEWS 2017","PT59M37S"
"S41qfq3OmKY","Babu Owino uses his common slogan 'Tibim!' in his oath of office","2017-08-31T09:13:00.000Z","KTN News Kenya","PT52S"
"tD1Dw4H8GYk","Nandala Mafabi and Minister Echweru on Government's Preparedness to Tackle Disaster","2017-08-31T08:31:34.000Z","NBS TV Uganda","PT44M41S"
"GIbieaB_Zag","Unduire: Nymbo cia giky na gkundi ga Kangemi Cultural Dancers","2017-08-31T08:03:04.000Z","Kameme Tv Old","PT21M30S"
"sUB9C6wf-q4","KTN News Live Stream (Nairobi Kenya) - NASA's Petition at Supreme Court of Kenya","2017-08-31T08:02:50.000Z","KTN News Kenya","PT0S"
"ujwe0ycWtUU","JKL: The Winning Women [Part 2] #JKLive","2017-08-30T20:14:06.000Z","Kenya CitizenTV","PT33M36S"
"_WYg5nLbSnY","Ha Ha!!! Mboch Code..... Ep171 Pt2","2017-08-30T20:08:11.000Z","The Real House Helps of Kawangware","PT11M38S"
"TQOKMWf6nis","JKL: The Winning Women [Part 1] #JKLive","2017-08-30T19:37:23.000Z","Kenya CitizenTV","PT31M25S"
"_ZV46TvGnVA","Babu owino swearing oath in parliament","2017-08-30T19:18:11.000Z","kakox spg newton","PT1M42S"
"Z648k42wzCQ","Power games and the dangers faced by unsuspecting Kenyans","2017-08-30T19:13:05.000Z","KTN News Kenya","PT8M42S"
"j-lTXQIsqFQ","Over 3000 Morans graduate into the Eunoto age set, a ceremony that takes palace once every 10 years","2017-08-30T19:03:11.000Z","KTN News Kenya","PT5M30S"
"5fbUmD2AOAI","Profiles of the 7 Supreme court judges hearing the presidential petition","2017-08-30T18:44:27.000Z","Kenya NTV","PT3M1S"
"0z9uI_DHttE","Con men & Con Women Using Governor Sonko Name To Con Kenyans Promising Them Jobs","2017-08-30T18:33:37.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT4M51S"
"8Pkpa2gauW0","Senators-elect undergo orientation ahead of their swearing in ceremony","2017-08-30T18:32:24.000Z","KTN News Kenya","PT3M29S"
"5xH4NIHTifE","More details on the registrar's scrutiny report on the presidential petition","2017-08-30T18:22:13.000Z","KTN News Kenya","PT21M30S"
"1CxD2dHqLFc","Nasa MPs drop threat to boycott swearing in ceremony","2017-08-30T18:20:10.000Z","Kenya NTV","PT3M21S"
"xbMgYNIF_5Y","Anxiety as Supreme Court Judges retreat to write petition judgement","2017-08-30T18:07:12.000Z","K24TV","PT3M39S"
"NjDyze-QxUs","Jubilee unveils its house leadership team","2017-08-30T18:06:24.000Z","K24TV","PT4M4S"
"WShNK4Zc5qY","Supreme Court judges retreat as they prepare their ruling on the Presidential petition","2017-08-30T18:05:13.000Z","KTN News Kenya","PT22M53S"
"C_n6efgUm1A","Abakozi Ba Gavumenti Ssi Basanyufu","2017-08-30T17:45:41.000Z","NBS TV Uganda","PT3M33S"
"xg4XU2NYMiA","UHURU MEETS ELECTED LEADERS IN STATEHOUSE  TO STRATEGIZE  TO COUNTER RAILA","2017-08-30T17:31:26.000Z","Kenya News Alert TV","PT2M15S"
"_5dVjDR4s0E","KAGAME APPOINTS DR. NGIRENTE AS NEW PRIME MINISTER","2017-08-30T17:16:29.000Z","Kigali Today","PT3M56S"
"HXB33T9YXlE","How to Get the Spark Back in Your Relationship ( Angella Kalule, Dorah Nansamba & Lucky Mbabazi","2017-08-30T17:10:58.000Z","NBS TV Uganda","PT33M40S"
"YztQBPGHgb0","Ababaka Bakulukusizza Amaziga","2017-08-30T16:51:44.000Z","NBS TV Uganda","PT2M54S"
"fKy59CWQtO8","Kameme Maturaini","2017-08-30T15:35:39.000Z","Kameme Tv Old","PT22M53S"
"eekkhCAcNtw","Beauty Blend: Want to meet the in-laws? Here's a simple look","2017-08-30T15:13:59.000Z","Kenya CitizenTV","PT9M32S"
"40xQ1x348Ls","Beauty Blend: Common mistakes to avoid when doing makeup","2017-08-30T15:13:55.000Z","Kenya CitizenTV","PT5M18S"
"x9a3D8Wmd48","ANNA HAJARE - Motivational Speech","2017-08-30T15:11:34.000Z","vinay bhat","PT39M16S"
"TVSaJ_gbg9w","Cant intervene in AIADMK matters, TN Governor to VCK Leader Thirumavalavan","2017-08-30T14:24:48.000Z","Red Pix 24x7","PT11M25S"
"EwkarBISpA0","Tamil Nadu N Governor Playing Politics - I will the President,  M K Stalin Of DMK","2017-08-30T13:47:26.000Z","Red Pix 24x7","PT3M17S"
"o_ns0VZHo50","Gladys Mwanzia on igniting her passion to teach kids in kindergarten","2017-08-30T10:29:03.000Z","Kenya NTV","PT17M35S"
"Awdu3kprGKk","Nasa ""unanimously"" agree their MPs & Senators will attend swearing in session","2017-08-30T10:17:57.000Z","Kenya NTV","PT4M48S"
"7cv7QC8vplw","Senior Journalist Shyam about TN Governor's abandonment of Opposition's request | Thanthi TV","2017-08-30T09:35:30.000Z","Thanthi TV","PT4M38S"
"u9-SLWG1tEg","Mkutano wa NASA: Viongozi wa NASA mkutanoni Lavington","2017-08-30T09:01:41.000Z","KTN News Kenya","PT4M56S"
"e_oGUGwEPxQ","ISAAC RUTO BAST into TEARS during inauguration of Dr Joyce Laboso as he delivered last speech.","2017-08-30T08:48:11.000Z","JOROCHERE TV REVEALS","PT2M14S"
"3UsHaFG6_tY","Senior Advocate Tamil Mani about TN Governor's abandonment of Opposition's request","2017-08-30T08:29:16.000Z","Thanthi TV","PT7M37S"
"F0b3bTnyjQI","H Raja on TN Governor's abandonment of Opposition's request","2017-08-30T08:04:04.000Z","Thanthi TV","PT6M51S"
"LDtPqCZCOTk","Accused Kenyan Leaders 'Have Confidence of Electorate'","2017-08-30T07:10:38.000Z","Kenya Digital Archives","PT23M29S"
"6eTz33SPJck","TN Governor told us that the Ball is not in his court - Jawahirullah | FULL PRESS MEET","2017-08-30T07:04:02.000Z","Thanthi TV","PT12M7S"
"Z9pmJJZ30Ug","Texas Governor Abbott Just Pissed Off Obama With Incredible Gift He Gave President Trump","2017-08-29T23:35:12.000Z","Breaking News 365","PT8M4S"
"LfglPcluEZA","AUG 29 2017  URGENT!! North Korea fires missile over JapaN","2017-08-29T11:30:57.000Z","CNN,BBC FOX News","PT1M38S"
"RHCp6FlF1dw","BJP Committed to completing projects in time-bound mannern, Says PM Modi | Studio N","2017-08-29T11:26:32.000Z","Studio N News","PT6M2S"
"r-U98m9oOt0","Independence Day 2016 At Vaishnavi Orchids - Speeches","2017-08-29T11:12:03.000Z","Raju Vusirikala","PT32M41S"
"fg4-nU5IBD0","RAILA ALMOST SMASHES POLICEMAN'S FACE AFTER BODYGUARD DENIED ENTRY IN THE SUPREME COURT","2017-08-29T11:00:56.000Z","BREAKING NEWS KENYA","PT3M30S"
"Toez9E6Ams4","miguna miguna says plo speech was just a rhetoric no legal substance","2017-08-29T08:14:41.000Z","cyrus Cheluget","PT2M14S"
"GD4zaq70pjE","ALERT - NORTH KOREA ISSUES NEW THREAT  2017","2017-08-29T07:07:31.000Z","teaouvihou","PT10M12S"
"oQ9NK9_B2kw","Mabilog, gustong makipagkita kay Duterte","2017-08-29T05:54:58.000Z","ABS-CBN News","PT11M46S"
"cfJ8-w6zn4M","All set for Kakinada Municipal Corporation Elections Polling | Studio N","2017-08-29T05:22:11.000Z","Studio N News","PT2M37S"
"q7yWv2k3b3w","CM KCR orders to TRS leaders over Farmers Welfare Schemes Development | Telangana | Studio N","2017-08-29T04:27:00.000Z","Studio N News","PT2M8S"
"JiuEb1pjziE","TALUMPATI Ni DUTERTE NA GRABE ANG PAG-ATTACKI NG KANYANG UBO DAHIL SA TUDO-TUDO NA TRABAHO","2017-08-29T04:01:31.000Z","DUTERTE NEWS REPORT","PT15M20S"
"L6l1SbC4s-s","Moses Wetangula bodyguard arrested for insisting to accompany his boss in the court premises","2017-08-29T03:49:22.000Z","ONLINE COMMUNITY","PT1M38S"
