"video_id","title","published_at","channel_title","duration"
"XEvTDf_u20Q","YS Jagan Speech at Aalla Gadda Road Show On Fee Reimbursement  | Studio N","2017-11-15T16:10:11.000Z","Studio N News","PT5M44S"
"7CN7s3HqIL8","RAILA ODINGA FULL SPEECH AT CSIS HEADQUARTERS,WASHINGTON DC","2017-11-15T16:06:20.000Z","MTV East African News","PT1H22M31S"
"gZLIOM7813M","Easy trick to getting Amazon Gift Codes! - last updated","2017-11-15T15:23:01.000Z","Tech News","PT2M4S"
"hA5R4rE99Wk","THINGS FALLING APART IN SUPREME COURT FOR PETITIONERS!!!","2017-11-15T15:18:49.000Z","NEWS CUT","PT9M28S"
"QySPb_u98BA","Hataki Ujinga!! CJ Maraga disappoints another applicant in Supreme Court |Mr. C.E.O","2017-11-15T15:16:15.000Z","Mr. C.E.O","PT3M59S"
"vfaY4pbdpv8","EUNICE LUMALLAS DISMANTLES IEBC IN SUPREME COURT","2017-11-15T15:15:21.000Z","ChannelYakele","PT14M35S"
"u-Ba9pjn3jo","PCC Chief Uttam Kumar & Eetala Rajendar Speech On Fee Reimbursement | TS Assembly | Studio N","2017-11-15T15:13:34.000Z","Studio N News","PT2M48S"
"fU8fLUyb6dU","Oliver Chooses His Perfect Match","2017-11-15T14:55:22.000Z","Ebru TV Kenya","PT4M31S"
"POOIZ0l5log","Will Lola Steal Oliver's Heart?","2017-11-15T14:52:20.000Z","Ebru TV Kenya","PT5M50S"
"4_PwPE3u3wM","Jane Mwihaki winner of treat #2 celebrating Churchill at 40","2017-11-15T14:47:51.000Z","Churchill Show","PT7M30S"
"AZ-aW1ZDMGA","CJ Maraga EMBARRASSES a voter who claimed supreme court judges are CRUEL","2017-11-15T14:45:48.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT13M13S"
"dANRISkPejc","TPCC Chief Uttam Kumar Reddy Speech On Fee Reimbursement at TS Assembly | Studio N","2017-11-15T14:32:05.000Z","Studio N News","PT11M2S"
"JCchQYuR7vc","THIS IS WHY  THE SUPREME COURT WILL INVALIDATE THE PRESIDENTIAL ELECTION AGAIN","2017-11-15T14:29:28.000Z","Lee Makwiny","PT13M40S"
"xToGUYiAtIc","Farewell service for Dr Boutrous Mbugua held at MTRH","2017-11-15T13:50:27.000Z","The Star Kenya","PT1M5S"
"i7QxjrLu6Eg","FULL SUPREME COURT HEARING OF OCTOBER 26,ELECTION PETITION NOVEMBER 15,2017","2017-11-15T13:45:11.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT3H57M2S"
"PZtBs-jJV6Y","FACE OFF: Another voter is expunged from the supreme court by C.J Maraga","2017-11-15T12:31:56.000Z","Kenya CitizenTV","PT4M7S"
"KIKIXeSuSqk","NASA leader Raila Odingas new push for inclusion questionable","2017-11-15T12:26:41.000Z","Kenya Updates","PT5M51S"
"ABB81JtmD6Y","List of irregularities and illegalities committed by IEBC, according to petitioners","2017-11-15T12:24:21.000Z","KTN News Kenya","PT15M15S"
"lIISKh0AXDI","Lawyer Julie Soweto's full presentation at the Supreme Court","2017-11-15T12:22:40.000Z","KTN News Kenya","PT1H10M3S"
"70nDmkSe858","Pocharam Srinivas Reddy Speech in TS Assembly on Crop Loan Waiver | Studio N","2017-11-15T12:13:58.000Z","Studio N News","PT1M43S"
"0Wg52ZhcaeA","Judge Maraga takes Lawyer to task over quest to nullify election","2017-11-15T12:07:44.000Z","KTN News Kenya","PT2M26S"
"Dmt8eyzG2Ts","Jubilee Man Drafts Bill To Exclude Luo Nyanza From Kenya","2017-11-15T11:49:29.000Z","Kumekucha Chris","PT11M25S"
"7vqQ5buHRaI","Anarchy in Kenya - Political Risk","2017-11-15T11:48:56.000Z","The Elephant","PT1H16S"
"isDtp-P9paE","Lawyers; SCoK bench debate on veracity and  admissibility of Akombes press statement as evidence","2017-11-15T11:42:19.000Z","NTV Kenya","PT6M13S"
"hElYrwoExts","Slaps in the Face of Ministers from Doctor Obuku at Government Select Committee Meeting with Medics","2017-11-15T11:41:10.000Z","NBS TV Uganda","PT7M1S"
