"video_id","title","published_at","channel_title","duration"
"jHdtgCxKu4g","Uhuru Kenyatta Speech Today To Jubilee & Affilliated parties Parliamentary Group in State House","2017-08-30T17:44:35.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT2M16S"
"M4phSw9C2ig","MEDDY ADMITS HE IS IN A RELATIONSHIP","2017-08-30T16:54:59.000Z","Kigali Today","PT4M53S"
"7OfZbPxcXow","Pheroze Nowrojee Supreme Court Submission And His Little Known Kenyatta Connection","2017-08-30T14:01:27.000Z","Kumekucha Chris","PT6M35S"
"iE6RCD9UsKk","23-year-old MP-elect who overcame odds lays out Igembe South agenda","2017-08-30T13:01:45.000Z","Capital FM Kenya","PT10M27S"
"VE_0PojDOaQ","""I was thrown up as a baby, that's why I am always high,""says Willis","2017-08-30T12:26:05.000Z","Hot 96 FM Kenya","PT3M56S"
"jgY13OrRj8o","PM Modi's Speech on releases the Platinum Jubilee Milestone Book of Tata memorial | May 25, 2017","2017-08-30T12:25:57.000Z","News On Trends","PT22M57S"
"H4dzwtq78Fc","Two children abandoned at Wangige Market, Kabete rescued by good samaritan","2017-08-30T12:25:03.000Z","Kenya NTV","PT3M54S"
"Zk4cotuNUow","Nasa MPs to attend swearing in ceremony in Parliament","2017-08-30T11:58:16.000Z","Kenya NTV","PT6M45S"
"2cTYicyjX2I","Supreme Court Judges analyze their submissions","2017-08-30T11:30:52.000Z","KTN News Kenya","PT5M7S"
"KLWFumaNQxY","NBS Now Full News Bulletin - 30 August, 2017","2017-08-30T11:12:43.000Z","NBS TV Uganda","PT39M54S"
"XYR3qo5ZF3A","K24 NewsCut with Anjlee Gadhvi (30.08.17)","2017-08-30T10:58:11.000Z","K24TV","PT24M40S"
"_whLWcrBrGc","Panamera Demolition Halted","2017-08-30T10:48:17.000Z","NBS TV Uganda","PT5M11S"
"ZWkxY7efWcc","NASA hold MPs meeting in Lavington at the Okoa Kenya Offices","2017-08-30T10:16:09.000Z","KTN News Kenya","PT6M14S"
"X3ECb9llO5g","""If You were appointed in the counties as a reward, Just Know you're going home,"" says Jalas","2017-08-30T10:12:49.000Z","Hot 96 FM Kenya","PT7M28S"
"DmIcndBNn6k","Was the police service right to fire Moses Wetang'ula's bodyguard?","2017-08-30T09:51:04.000Z","Kenya NTV","PT22M12S"
"OTV7GbL1C3g","Uhurus lawyers say presidential petition lacks merit","2017-08-30T09:25:58.000Z","KBC Channel 1","PT4M31S"
"vkKOp9_8eCI","Most County Jobs are not earned through Merit","2017-08-30T09:05:30.000Z","Hot 96 FM Kenya","PT7M34S"
"-nzp_bKuKnk","Power Breakfast News Review : Presidential Petition","2017-08-30T09:01:18.000Z","Kenya CitizenTV","PT46M14S"
"gQ4FJd7EERA","Cheche : State of democracy [Part 2]","2017-08-30T08:58:36.000Z","Kenya CitizenTV","PT26M24S"
"frfNZuJDD3E","Moses Wetangula Speech Today In Laare Meru NASA Rally,  Election 2017","2017-08-30T08:53:13.000Z","Trending Kenya","PT1M23S"
"D61GiYhoKcw","Amaaso ku Ggwanga ne David Egesa","2017-08-30T08:37:35.000Z","Benon Fred TWINAMASIKO","PT33M17S"
"cR4jcEGpwnE","Employment in Baringo, Drop in harvest in Trans Nzoia and Increase of Crime in Nairobi","2017-08-30T08:23:49.000Z","Hot 96 FM Kenya","PT5M2S"
"h3ECMRy75Uo","Face Off: Presidential Election Petition","2017-08-30T07:53:33.000Z","K24TV","PT24M21S"
"DtWNmu6NjMs","The Supreme Court Petition: Decision to be delivered on Friday","2017-08-30T07:19:10.000Z","KTN News Kenya","PT10M9S"
"A_Krlb9C-1s","Morning Breeze with Emirian Kayima about Entebbe Murders","2017-08-30T07:06:48.000Z","Benon Fred TWINAMASIKO","PT49M26S"
"WiKvLpXhlHc","Dr PLO Lumumba dissects Presidential petition case at Supreme court 2017","2017-08-30T06:02:50.000Z","Edward Koech","PT21M1S"
"PiclQnMfvcA","The final submissions : NASA wants president Kenyatta's win nullified","2017-08-30T05:52:24.000Z","KTN News Kenya","PT17M52S"
