"video_id","title","published_at","channel_title","duration"
"X7SmC4eIrD4","Moses Wetangula REVEALS what Raila Will Go To Do in Washington, DC USA","2017-11-04T16:47:30.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT2M22S"
"4hGigIo6lrA","MIGUNA MIGUNA DROPS BOMBSHEL AFTER JOINING NRM","2017-11-04T16:03:39.000Z","DENNIS ODHIAMBO","PT5M38S"
"xEnoCc29yzM","Raila Odinga DROPS A BOMBSHELL Today 11/04/2017 NASA press Conference Today","2017-11-04T15:36:19.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT15M54S"
"FISnVLnZCBI","WILLIAM RUTO DESTROYS RAILA AGAIN ON AL JAZEERA 04 11 17","2017-11-04T15:00:44.000Z","KENYAN NEWS LATEST","PT25M1S"
"6hBaHbMzlKk","NASA Press Briefing","2017-11-04T14:28:49.000Z","Raila Odinga","PT17M3S"
"SSUaNM8Ha3Y","William Ruto EXPOSES Raila Again During His 2nd AL Jazerra Interview","2017-11-04T13:52:22.000Z","E News Kenya","PT24M53S"
"7YU356ylQC8","MIGUNA MIGUNA - CORONATION RITUALS FOR UHURU KENYATTA","2017-11-04T13:42:58.000Z","ChannelYakele","PT1M38S"
"SQL_zY0OsNM","JAMES ORENGO GIVES DIRECTIONS ON THE WAY FORWARD TODAY 11/04/2017","2017-11-04T13:37:34.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT7M49S"
"LIAlEHXKHzQ","BREAKING NEWS NASA JAMES ORENGO GIVES NEXT MOVE TO GO","2017-11-04T13:33:07.000Z","ChannelYakele","PT10M33S"
"I3hS5pHBv_I","Miguna Miguna BOMBSHELL After Joining National Resistance Movement As GENERAL TODAY 11/04/2017","2017-11-04T13:33:01.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT5M38S"
"ZKbPKUepCLI","National Resistance Movement Press Briefing","2017-11-04T13:32:49.000Z","NASA Coalition","PT14M3S"
"bH8uE3RRaO4","NATIONAL RESISTANCE MOVEMENT PRESS CONFERENCE ON THE WAY FORWARD TODAY 11/04/2017","2017-11-04T13:23:44.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT13M29S"
"3PJSnk8ZrJU","Miguna Joins NASA and LEAKS Crucial Plan to BRING DOWN President Uhuru.","2017-11-04T13:18:48.000Z","E News Kenya","PT1M56S"
"tqMEhHyjEw4","NASA CONFESSES it's Grand Plan to Remove President Uhuru From Power.","2017-11-04T13:06:38.000Z","E News Kenya","PT13M34S"
"6USIpwZS4QI","If you can vote you have a right to stand for Presidency NRM says","2017-11-04T10:42:44.000Z","2 of us","PT18M1S"
"O-vdy79_PvE","TRS MLA Jalagam Venkat Rao Speech in Telangana Assembly | Studio N","2017-11-04T09:13:02.000Z","Studio N News","PT1M59S"
"Rs9F9LPBhXU","Raila's NRM economic boycott hypocrisy","2017-11-04T07:08:29.000Z","zeph chepkwony","PT9M6S"
"kx-eYd37U3g","Aba NRM bibino byebagala bikyusibwe mu semateeka","2017-11-04T06:06:19.000Z","2 of us","PT16M50S"
"KGOJdk_kQlg","Aba NRM bogede eyatuma Magyezi okugikwatako","2017-11-04T06:04:39.000Z","2 of us","PT16M50S"
"PdydfRHFGSM","Aba NRM bamyukidde amaso mu kakiiko ka semateka Togikwatako","2017-11-04T02:36:02.000Z","2 of us","PT30M20S"
"bZ-zq7esPD4","WHAT WILL HAPPEN TO NASA SUPPORTERS WHO WORK IN SAFARICOM? NRM EXPLAINS","2017-11-03T18:17:28.000Z","Kenya News Alert TV","PT9M37S"
"cn8Z5NSQJM0","TIBIIM - NAROK SENATOR TO LEAD MAASAI IN BOYCOTT AS NRM MPS DIG IN","2017-11-03T18:10:42.000Z","Lee Makwiny","PT10M58S"
"gIrmDrbShHw","UHURU'S BROOKSIDE DAIRY  BUSINESS SUFFER  LOSES AS NASA BOYCOTT  BROOKSIDE DAIRY PR","2017-11-03T18:08:01.000Z","Kenya News Alert TV","PT18M46S"
"99RxrlmD8Bo","NATIONAL RESISTANCE MOVEMENT TURNING POIN SPEECH THAT WILL ECONOMICALLY SURBOTAGE  THE COUNTRY","2017-11-03T17:57:34.000Z","KENYA LATEST NEWS 2017","PT13M52S"
"Xv0DlPpmtHg","RIP SAFARACOM AS MASS EXODUS TO AIRTEL LED BY NRM MPS ELECT","2017-11-03T16:33:11.000Z","KENYA LATEST NEWS 2017","PT15M"
"-qeI5VMtzSY","SAFARICOM OUTCRY AS NASA  LEADERS TAKE LEAD IN MIGRATING TO AIRTEL","2017-11-03T13:17:28.000Z","Kenya News Alert TV","PT15M"
"pPsuwPgV_-8","MLA Konda Surekha Speech From Telangana Assembly | Studio N","2017-11-03T13:02:15.000Z","Studio N News","PT7M24S"
"9VUrzs0xMPk","TDP Leader Dayakar Rao Speech From Telangana Assembly | Studio N","2017-11-03T12:11:49.000Z","Studio N News","PT1M25S"
"6UlG3PWtsN0","R&B Minister Thumala Nageshwar Rao Speech From T Assembly | Part 1 | Studio N","2017-11-03T12:01:24.000Z","Studio N News","PT1M43S"
"5RS8vhMfU9k","MLA Swamy Goud Speech From T Assembly | Studio N","2017-11-03T11:52:04.000Z","Studio N News","PT5M46S"
"17kLl4qvwb0","Demands set by NASA resistance movement to Kenyans","2017-11-03T11:47:56.000Z","KTN News Kenya","PT21M31S"
"vYWbUFHSVao","LEAKED; ABABU EXPOSING RAILA VERY BADLY","2017-11-03T11:14:32.000Z","KENYAN NEWS LATEST","PT3M45S"
"Npv3wi9JVik","ABP ANANDA Live Stream","2017-11-03T11:07:17.000Z","ABP ANANDA","PT14M38S"
"UTzKIxzIULo","NASA AT AIRTEL SHOP BUYING NEW SIM CARDS","2017-11-03T10:59:02.000Z","ChannelYakele","PT12M2S"
"J0sa3rmC01o","New headache for UhuRuto as Nasa turns against their businesses","2017-11-03T10:35:45.000Z","ARAP KALYA","PT2M21S"
"a72D_4tF0fs","NASA resistance movement launch targeted boycott of businesses that are Jubilee supporters","2017-11-03T09:38:52.000Z","KTN News Kenya","PT1M46S"
"3w9GPiSABXU","Narendra Modi  World Food India    -    - Pm Modi Latest Speech","2017-11-03T08:29:55.000Z","News Trend 24","PT24M"
"P1CX4-znFks","Dialogue between Uhuru Kenyatta and Raila Odinga - Week in Review","2017-11-03T08:22:02.000Z","KTN News Kenya","PT30M22S"
