"video_id","title","published_at","channel_title","duration"
"aiJHTIASzcQ","Uhuru Kenyatta Remarks While Addressing Kuria Leaders At State House Nairobi Today 10/4/17","2017-10-04T17:58:28.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT3M31S"
"12TQFICVpdU","FULL:PUBLIC PARTICIPATION ON JUBILEE CONTROVERSIAL AMENDMENTS TO ELECTION LAWS AT TOWN HALL 10/4/17","2017-10-04T17:49:18.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT1H46M21S"
"SuaXAMJXWLE","PM Narendra Modi's speech at ICSI golden jubilee year","2017-10-04T17:21:54.000Z","News State","PT55M13S"
"WoFyl-3wstU","PM Narendra Modi's todays speech at the inauguration of Golden Jubilee Year Celebrations of ICSI","2017-10-04T16:51:21.000Z","Modi Fan Club Official","PT1H7M12S"
"gf1wdLAgZi4","RACHEL MADDOW NEWS 10/4/17 SENATORS REVEAL NEW DETAILS IN TRUMP-CLINTON ELECTION PROBE","2017-10-04T16:51:07.000Z","RACHEL MADDOW NEWS","PT43M35S"
"v-bwYVtlFYQ","PM Narendra Modi's speech at the inauguration of Golden Jubilee Year Celebrations of ICSI","2017-10-04T16:44:47.000Z","Ye Jo Desh Hain Swadesh Hain Tera","PT1H7M12S"
"bWR194WVAqY","PM Narendra Modi's speech at the inauguration of Golden Jubilee Year Celebrations of ICSI","2017-10-04T16:35:01.000Z","Modi Fan Club Official","PT1H7M12S"
"L9g2xAgWoxc","PM Modi Latest speech Golden Jubilee Year ICSI ,        ","2017-10-04T16:33:35.000Z","Modi Fan Club Official","PT1H7M31S"
"WOFIJtCXpus","PM Modi's Speech at Inauguration of Golden Jubilee Year Celebrations of ICSI","2017-10-04T16:19:36.000Z","PMO India","PT1H7M31S"
"pw4pZCeXDE8","Oct. 4 - Daily Press Briefing","2017-10-04T15:58:16.000Z","Dominica Government (GIS)","PT1H9M52S"
"zfxabuRvYQo","Live: Secretary of State Rex Tillerson Statement, 10/4/2017  Press Conference","2017-10-04T15:40:11.000Z","Live Stream TV News","PT6M25S"
"r3Gem7SaW6g","PMO India s Very Emotional Speech, PM Modi inaugurates Golden Jubilee Year Celebrations of ICSI","2017-10-04T15:36:03.000Z","Indian Entertainment And Top News Channel","PT1H31M17S"
"Im8cC3w7VZw","FULL SPEECH: PM Modi addresses gathering at the Golden Jubilee Year Celebrations of the ICSI","2017-10-04T15:34:03.000Z","DD News","PT1H9M14S"
"tBjmKDHxbW4","LIVE: PM Narendra Modi's Speech at ICSI Golden Jubilee Year Celebrations","2017-10-04T15:32:35.000Z","NMF News","PT2H24M49S"
"zeOF04zXtIQ","PM Narendra Modi Speech | Participates In ICSI Golden Jubilee Celebrations At New Delhi | V6 News","2017-10-04T15:23:41.000Z","V6 News Telugu","PT11M9S"
"O7mW6gxX3Xk","Rex Tillerson Press Conference Denies Report of Resigning 10/4/17","2017-10-04T15:13:35.000Z","LIVE ON-AIR NEWS","PT7M28S"
"FL_fpBxBncY","PROPOSED AMENDMENTS TO THE ELECTION LAWS ILLEGAL","2017-10-04T14:56:25.000Z","Kenya News Alert TV","PT2M1S"
"1dvdHGN1Y98","PM Narendra Modi's speech at the inauguration of Golden Jubilee Year Celebrations of ICSI","2017-10-04T14:53:23.000Z","Bharatiya Janata Party","PT1H7M12S"
"fg9RAzN9zJU","Raila Odinga FULL PRESS CONFERENCE Today 10/4/17 NASA Press Conference","2017-10-04T14:50:33.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT24M57S"
"zZ_ui0g3i6M","UHURU HAS MADE IT IMPOSSIBLE FOR IEBC TO CONDUCT FREE,FAIR AND TRANSAPRENT ELECTIONS","2017-10-04T14:48:14.000Z","Kenya News Alert TV","PT1M51S"
"QCNiHyY0vLU","Uhuru Kenyatta FULL SPEECH Today At 2017 Nairobi International Trade Fair 10/4/17","2017-10-04T14:44:58.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT26M3S"
"H8rctnmVQMs","Narendra Modi latest speech,      Congress     ","2017-10-04T14:42:33.000Z","Pyara Hindustan","PT1H4M52S"
"c_6UQEJn0XI","President Uhuru Kenyatta's remarks during a meeting with a delegation from Kuria, Migori County.","2017-10-04T14:38:24.000Z","UhuruKenyattaTV","PT3M31S"
"7IdFvLYXjx4","Babar Awan Press Conference | 4 October 2017 | Pak News","2017-10-04T14:31:15.000Z","Power TV Talk Shows","PT14M13S"
"b0JzfzmVZhs","UHURU PROMISES KURIA A CABINET POST","2017-10-04T14:27:25.000Z","Kenya News Alert TV","PT4M16S"
"-LngGG2nSiA","PM Modi's Speech at inaugurion of Golden Jubilee Year Celebrations of ICSI","2017-10-04T14:25:02.000Z","Narendra Modi","PT1H7M31S"
"LvdBbTYqZV0","IPOA investigates UoN police brutality","2017-10-04T14:19:17.000Z","KBC Channel 1","PT1M40S"
"sQy3dXCRS58","President Kenyatta meet women grass root leaders","2017-10-04T14:19:11.000Z","KBC Channel 1","PT4M52S"
"0jWGj_jRrsM","Nasa leader Raila Odinga accuses government of undermining independent institutions","2017-10-04T14:11:49.000Z","Kenya NTV","PT1M30S"
"WH-NBsAgNgw","CHEBUKATI DANCES TO JUBILEE TUNE ON PREPARATION OF REPEAT PRESIDENTIAL ELECTION","2017-10-04T13:53:31.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT1M8S"
"gGW8e3j1qZ0","PM Modi's Speech On Economy - LIVE","2017-10-04T13:51:37.000Z","Republic World","PT15M30S"
"yu6lOEDmh1A","Nasa, IEBC not on the same page about repeat poll - Raila Odinga's presser FULL","2017-10-04T13:50:26.000Z","Kenya NTV","PT14M1S"
"xKdcL2nB4bU","PM Narendra Modi Speech at Golden Jubilee Celebrations of ICSI || NTV","2017-10-04T13:47:51.000Z","NTV Telugu","PT8M55S"
"IgE_SBzC5rI","TN CM Edappadi Palaniswami's speech at MGR Centenary Celebration in Karur | Thanthi TV","2017-10-04T13:36:43.000Z","Thanthi TV","PT46M23S"
"GhMXj70LgHE","Kuria leaders to mobilise support for President Kenyatta","2017-10-04T13:28:38.000Z","Capital FM Kenya","PT4M28S"
"Qt5DcuIvw-0","Raila Odinga's surprise move after abandoning talks with IEBC over irreducible reforms","2017-10-04T13:25:19.000Z","KTN News Kenya","PT14M58S"
"txN2B6q7Rnc","NASA leader Raila Odinga want amendment to election laws withdrawn","2017-10-04T13:20:41.000Z","KBC Channel 1","PT3M9S"
"xCSFLBolb8o","Nawaz Sharif Complete Speech in Lahore 4 October 2017 GRILLS General Qamar Javed Imran Khan","2017-10-04T13:12:29.000Z","Talk Shows Point","PT30M13S"
"ICB5GipHXbA","Live:Raila meets GUSII leaders","2017-10-04T13:12:07.000Z","KENYAN TUBE","PT14M6S"
