"video_id","title","published_at","channel_title","duration"
"fknNRCWwXqI","UPDATE  RAILA ODINGA GRAND ANNOUNCEMENT AT WIPER HEADQUARTERS","2017-10-31T17:27:32.000Z","Kenya News Alert TV","PT11M41S"
"8yPrE8Npo-A","News Headlines | 09:00 PM | 31 October 2017 | 24 News HD","2017-10-31T17:00:40.000Z","24 News HD","PT24M19S"
"OcnFdZi6Jmo","RAILA HAS EVIDENCE OF RIGGING THAT TOOK PLACE DURING LAST ELECTIONS,LISTEN!!!","2017-10-31T16:55:54.000Z","NEWS CUT","PT2M22S"
"bIeT2owiNqw","Nairobi business group pushes for political stability","2017-10-31T16:53:50.000Z","Capital FM Kenya","PT2M2S"
"ZHWaeiGG7V0","On The Front with Kamran Shahid - 31 October 2017 - Dunya News","2017-10-31T16:53:23.000Z","Dunya News","PT38M45S"
"LrEc0wLVZXg","Raila Odinga's most awaited speech on 31st October 2017","2017-10-31T16:44:21.000Z","Kenneth Nyaga","PT8M23S"
"3qMsPUwgO1E","Press Conference","2017-10-31T16:40:55.000Z","Raila Odinga","PT9M9S"
"XMDy10QiypY","Raila Odinga speech after Uhuru was declared president","2017-10-31T16:38:31.000Z","Tuko / Tuco","PT21M53S"
"ztvMZLe03XI","KTN Home Live Stream","2017-10-31T16:32:50.000Z","KTNKENYA","PT0S"
"BoJ8_cyrbrA","Raila's GRAND Announcement After Uhuru was CROWNED President . Kenyans Eagerly Waited For This.","2017-10-31T16:15:55.000Z","E News Kenya","PT7M3S"
"KQ7rWk7hkgY","Press Conference","2017-10-31T15:54:22.000Z","Raila Odinga","PT5M40S"
"0Wv3_ysn_Ws","Assault on journalists covering Railas big announcement at Wiper HQ","2017-10-31T15:32:08.000Z","Capital FM Kenya","PT1M50S"
"tpkOXuUDWO4","Kenya's Odinga rejects presidential election re-run","2017-10-31T15:30:50.000Z","TRT World Now","PT1M58S"
"IC7DVwzV6qU","Raila Odinga's statement on presidential election result and Nasa's way forward","2017-10-31T15:19:13.000Z","NTV Kenya","PT22M50S"
"so7BVVKthk4","Jurgen Klopp Pre-Match Press Conference | Liverpool vs. Maribor","2017-10-31T15:02:45.000Z","This Is Anfield","PT13M56S"
"zjc5Jo2CIoY","Manara kaleta TV kwenye press conference kuonyesha Simba inaonewa","2017-10-31T14:53:38.000Z","Millard Ayo","PT7M34S"
"77qr5WYR-yQ","RAILA ODINGA NICE SPEECH TODAY ON WAY FORWARD!!!31/10/2017","2017-10-31T14:49:07.000Z","NEWS CUT","PT19M50S"
"vwYPGbHF26s","Raila Odinga Long awaited Full speech","2017-10-31T14:48:21.000Z","Mr. C.E.O","PT21M33S"
"-l2zTpH26qY","RAILA ODINGA SPEECH, OKOA KENYA AFTER UHURU RE ELECTION","2017-10-31T14:36:17.000Z","KENYAN NEWS LATEST","PT8M35S"
"HgZb_fdB8p8","Klopp & Milner's pre-Maribor press conference in full | Who is fit for Champions League clash?","2017-10-31T14:32:13.000Z","Liverpool FC","PT24M50S"
"ffbM33C0SgY","Raila's Full Speech at Okoa Kenya Offices","2017-10-31T14:32:03.000Z","Blogjaph JK","PT22M39S"
"UwRGj1sL0QY","JOURNALISTS SWEAR NEVER TO COVER RAILA ODINGA EVENTS","2017-10-31T14:21:34.000Z","KENYAN NEWS LATEST","PT40S"
"6WbOPvNEeQk","Goons attacked Citizens Francis Gachuri & NTV cameraperson Jane Gatwiri","2017-10-31T14:20:05.000Z","Ng'ang'a The  Blogger","PT3M21S"
"a1y8BydVhXI","RAILA ODINGA GRAND ANNOUNCEMENT AT OKOA KENYA OFFICES AFTER OCTOBER 26  SHAM ELECTION 10/31/2017","2017-10-31T14:16:56.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT17M26S"
"zKJsGTeP_eo","Citizen TV Will Respect Raila After This!!!","2017-10-31T14:16:04.000Z","KENYAN TUBE","PT2M28S"
"wqLXz-EPKyY","What was the Actual Turnout Before Uhuru was Declared Kenya's President Elect?","2017-10-31T14:07:44.000Z","TopGuy360 KENYA","PT10M50S"
"MNc-oJPk4TM","RAILA ADDRESSING THE NATION ,OKOA KENYA","2017-10-31T14:01:30.000Z","Kenya News Alert TV","PT38S"
"t6_S_PiIvfE","Raila Odinga addreess the nation on way forward","2017-10-31T14:00:00.000Z","cooliyee","PT11M19S"
"2Os3M7vyxpM","Raila Odinga Long awaited speech","2017-10-31T13:55:42.000Z","Mr. C.E.O","PT6M10S"
"fRwLx00CTPQ","Raila Odinga Full Speech on 26th October Repeat Elections","2017-10-31T13:47:31.000Z","Kenyanese","PT17M28S"
"AS0gNhAFIxg","RAILA ODINGA FULL SPEECH  AT OKOA KENYA BRINGS WORRIES TO  UHURU KENYATTA & IEBC","2017-10-31T13:46:17.000Z","Trending News Kenya","PT8M35S"
"BhuZ_KWi3hs","Raila Odinga apologises to the two Journalists who were beaten by NASA supporters","2017-10-31T13:41:17.000Z","KTN News Kenya","PT23S"
"ZVSCxxpazdU","Raila Odinga's full speech at Okoa Kenya","2017-10-31T13:39:53.000Z","KTN News Kenya","PT22M39S"
"-e-xy6Bm35g","Raila: Only 3.5M people voted, disputes IEBC's 7.6M figure","2017-10-31T13:39:45.000Z","Kenya CitizenTV","PT22M29S"
"jS393cCoV0o","Citizen tv journalist Francis Gachuri attacked by NASA goons","2017-10-31T13:33:14.000Z","bigkim tv & studios kim turacco","PT2M10S"
"6V5XlgJ3YAo","RAILA ODINGA FULL SPEECH  ADDRESSING PRESS CONFERENCE AT OKOA KENYA TODAY TUESDAY 31/10/2017","2017-10-31T13:32:55.000Z","Trending News Kenya","PT11M58S"
"qVsRxxNCrSQ","NASA leader Raila speaks on the elections 1","2017-10-31T13:32:06.000Z","K24TV","PT15M15S"
"r4eZesY9KKM","RAILA ADDRESSING THE NATION ,OKOA KENYA","2017-10-31T13:27:50.000Z","Kenya News Alert TV","PT8M35S"
"Oyfy6KoF8_o","REAL FOOTAGE ON HOW FRANCIS GACHURI WAS BEATEN AT NASA MEETING TODAY","2017-10-31T13:25:49.000Z","Kenya News Alert TV","PT2M10S"
