"video_id","title","published_at","channel_title","duration"
"Kf0uXVR9WdE","NASA Press Conference on Election Results","2017-08-10T15:42:26.000Z","Arton Khainga","PT31M16S"
"3oZq-PexDAo","PRESS CONFERENCE ON ELECTION RESULTS","2017-08-10T14:47:43.000Z","Raila Odinga","PT56M2S"
"LAJhFR0N2w0","Nasa DECLARES Raila Odinga as the PRESIDENT of Kenya after they Release their Results.","2017-08-10T14:40:14.000Z","E News Kenya","PT1M36S"
"g4YwAmGihqo","KenyanDecides: Raymond Moi acceptance speech after reelection","2017-08-10T01:26:08.000Z","Kenya Election Update","PT2M32S"
"yP8_55aHZ4E","PRESS CONFERENCE ON IEBC SYSTEMS HACK, USING CHRIS MSANDO'S IDENTITY, TO MANIPULATE ELECTION RESULTS","2017-08-09T21:47:59.000Z","oromo tube","PT34M54S"
"IJPXltAqHBQ","AP CM Chandrababu Naidu speech at World Tribal Day in Araku | Visakha district | Studio N","2017-08-09T10:13:20.000Z","Studio N News","PT8M34S"
"kkPTSJNBHf8","Raila Odinga Reveals HACKERS used Chris Msando's Password to HACK IEBC and RIGGED Uhuru.","2017-08-09T08:44:32.000Z","E News Kenya","PT34M52S"
"qPqIEx3e2Gg","Lok Sabha Meeting | Parliament Monsoon Sessions 2017 | Narendra Modi Speech | Studio N","2017-08-09T08:17:29.000Z","Studio N News","PT1M27S"
"H02GnEZzZpc","Kenya elections 2017: Huge pre-dawn queues to vote in knife-edge election","2017-08-09T04:53:40.000Z","star watch videos","PT1M5S"
"cFNpsg7_g6c","SPEECH by Bro. TH0TA NAGESWARA RAO - KAKINADA AT MUPPALLA 2017","2017-08-09T01:51:48.000Z","Meher Sudhakar","PT16M50S"
"z01R_Y8BuMQ","Kenyan President Leads After Peaceful Vote","2017-08-09T00:50:06.000Z","E-News Exp","PT1M23S"
"cAHWkYtcALY","Solar Eclipse USA 2017","2017-08-08T21:26:40.000Z","morn1415","PT1H32M33S"
"4t2fz3vlc64","Voting D-Day Live Election Coverage KDRTV Live Stream","2017-08-08T17:40:38.000Z","KDRTV News Kenya","PT11H55M3S"
"A-fPbTHdaBA","Jittery Kenyans Vote In National Elections","2017-08-08T15:50:06.000Z","E-News Exp","PT1M27S"
"qSwX0c28HPo","Kenya | general election 2017 | Kenyatta says respect the result","2017-08-08T14:04:56.000Z","News Updates","PT2M21S"
"6oSKVxv9OQM","The Kenyan Election, 2017","2017-08-08T11:18:23.000Z","Ghana Broadcasting Corporation","PT3M35S"
"IfIGJ65Vtqw","D-day for Kenya as polls open in general elections [The Morning Call]","2017-08-08T11:04:11.000Z","africanews","PT18M48S"
"kRi1Rg229q4","Raila Odinga's Address to Kenyans at His Karen Home Before He Goes to Vote at Kibera","2017-08-08T10:43:57.000Z","E News Kenya","PT1H27M26S"
"avy_GDcU_K4","America    india  Pm Modi  ,     leader","2017-08-08T10:31:33.000Z","Indilinks News","PT1M51S"
"hKfwUybjDj0","luksisima (SPOKEN WORD) by | Jubilee Caete","2017-08-08T10:04:32.000Z","Creative Studio","PT5M57S"
"TtSkcA7VzjI","Propesa ACTOR Arrested with Extra Ballot Papers. He has been taken to Nyayo Stadium Police Station.","2017-08-08T10:01:46.000Z","E News Kenya","PT1M23S"
"NwOXWvitohM","Ebru TV KENYA Live Stream","2017-08-08T09:54:11.000Z","Ebru TV Kenya","PT0S"
"vrqYyAtPeTA","KENYA ELECTION LIVE  2017","2017-08-08T09:41:54.000Z","Caweyska Video Prodction","PT10M46S"
"57HC7V-TJak","Raila Odinga apiga kura katika eneo bunge la Kibra","2017-08-08T09:36:07.000Z","KTN News Kenya","PT1M12S"
"c5vVkHU4BAY","President Uhuru Kenyatta casts his vote at Mutomo Primary School -#ElectionsKE","2017-08-08T09:32:37.000Z","Kenya NTV","PT13M55S"
"2xjmMzRZpiA","CHAOS IN EMBAKASI AS VOTERS ARE ISSUED REJECTED BALLOT PAPERS","2017-08-08T09:29:46.000Z","NAIROBI GOSSIP","PT2M51S"
"HuHVAX8967c","Duale laments polling stations opened late in Garissa","2017-08-08T09:28:34.000Z","Kenya CitizenTV","PT1M17S"
"9GMrtZQgt6U","Facebook Shuts Down Robots Who Invent Their Own Language - Are We Ready for AI?","2017-08-08T09:19:31.000Z","#SeekingTheTruth","PT10M41S"
"0RLeFPdWS40","Raila Odinga aelekea kupiga kura Kibra","2017-08-08T08:36:59.000Z","KTN News Kenya","PT33S"
"7lFAGyVB4QY","Talk Africa: Kenya elections 2017 part one","2017-08-08T08:32:40.000Z","CGTN Africa","PT12M50S"
"n4SlGqAYpLs","DP William Ruto casts his vote in Sugoi","2017-08-08T07:57:14.000Z","KTN News Kenya","PT2M45S"
"QePmGAR5a6U","Exclusive: Raila Odinga and Ida Odinga express their readiness for the polls","2017-08-08T07:48:56.000Z","KTN News Kenya","PT7M46S"
"bBqOM0mhICI","CS Matiang'i casts vote, congratulates Citizens for maintaining peace","2017-08-08T06:43:43.000Z","Kenya CitizenTV","PT48S"
"9jez-4jv0YU","Voting underway in Kenya","2017-08-08T06:25:50.000Z","SABC Digital News","PT4M3S"
