"video_id","title","published_at","channel_title","duration"
"57MLb7OD0xU","UhuRuto's performance from 2013 to 2017","2017-11-25T16:56:27.000Z","NTV Kenya","PT2M49S"
"lpLKh6jEWcc","ORENGO LEAKS A PLANS OF HOW THEY WILL MAKE RAILA PRESIDENT","2017-11-25T16:54:38.000Z","Africa Top Hits","PT1M24S"
"4vtFLIENEuA","Congo Ndogo","2017-11-25T16:46:25.000Z","KTN News Kenya","PT1M48S"
"3YB3_pC6lxI","FULL VIDEO - Speeches by NASA Leaders in Mlologongo. Jubilee worried about parallel swearing in","2017-11-25T16:22:06.000Z","Lee Makwiny","PT8M52S"
"5Ta0hprD0ds","NASA Press Briefing at Maanzoni #Resist","2017-11-25T16:15:56.000Z","Raila Odinga","PT18M22S"
"yUC60YtsCRQ","Muntu Agenze Akukkuluma","2017-11-25T16:15:31.000Z","NBS TV Uganda","PT4M43S"
"6q0Z5zLQdr4","NASA FULL RALLY TODAY IN MLOLONGO MACHAKOS COUNTY 11/25/2017","2017-11-25T16:08:51.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT16M46S"
"k_5ukjY9P34","Raila's AMAZING Speech in Mlolongo. He REJECTS Uhuru's Presidency.","2017-11-25T16:08:44.000Z","E News Kenya","PT3M58S"
"TKA8WjoXnz8","FUL VIDEO - Raila Odinga Todays Speech in Athi River During meet the people tour of Machakos","2017-11-25T15:39:53.000Z","Lee Makwiny","PT6M20S"
"tkURYVRbujo","K24 6;30PM VIDOKEZO","2017-11-25T15:32:10.000Z","K24TV","PT53S"
"H8dtxu-3ucA","NASA Press Briefing at Maanzoni #Resist","2017-11-25T15:27:30.000Z","Raila Odinga","PT22M25S"
"xNHv-gfwTJ0","Raila's speech in Mlolongo  - 25/11/17","2017-11-25T15:21:02.000Z","kute543","PT9M47S"
"IQqGzLzj4JE","MUSALIA MUDAVADI -RAILA ODINGA WILL BE SWORN IN AS PRESIDENT","2017-11-25T15:18:25.000Z","THE SOURCE","PT4M11S"
"9lajM-VMSgQ","POLICE ON UHURU SWEARING IN SECURITY AND NASA PARARELL RALLY AT JACARANDA GARDENS","2017-11-25T15:17:41.000Z","ONLINE COMMUNITY","PT11M48S"
"pVkW43cxWDc","I will not retire from politics ~ Declares Raila Odinga. Tells Uhuruto ""mimi si rika ya amamayako""","2017-11-25T15:00:03.000Z","Lee Makwiny","PT3M14S"
"BUkL_UiCSDo","NASA Coalition   Engaging people of Ukambani #Resist","2017-11-25T14:55:25.000Z","Trending News Kenya","PT4M11S"
"PM5XYoYFtHE","NASA Press conference in Maanzoni - 25/11/17","2017-11-25T14:52:45.000Z","kute543","PT15M18S"
"6a3z-guSYqo","NASA Rally in Athi River - 26/11/17","2017-11-25T14:36:28.000Z","kute543","PT3M32S"
