"video_id","title","published_at","channel_title","duration"
"6byXkAaRbQA","Uhuru Kenyatta FULL Speech To Women In State House Nairobi Today 10/2/17","2017-10-02T17:24:26.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT30M12S"
"llX558s_Q1Y","Uhuru Kenyatta INSISTS they will amend election laws in Kenya 10/2/17","2017-10-02T17:02:07.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT1M11S"
"JuZW5M_vXWM","Millie Odhiambo and Esther Passaris Run for their lives during NASA demonstrations","2017-10-02T16:34:18.000Z","TopGuy360 KENYA","PT3M30S"
"9L4fhOiyQlU","Students protest in Gujarat ahead of PM Modi's visit","2017-10-02T16:15:49.000Z","ABP NEWS","PT1M11S"
"V-pEZ101ug0","Jacob Rees Mogg takes on protesters all by himself","2017-10-02T16:04:09.000Z","RobinHoodUKIP","PT8M56S"
"P-qP8F_yPK8","Breaking News LIVE : President Trump Speech Today 10/2/2017","2017-10-02T15:52:00.000Z","President Trump News","PT13M12S"
"xOuiaZT63Po","Anne Marie Waters Hints about Forming a New Political Party","2017-10-02T15:48:56.000Z","Believe In Brexit Britain","PT15M27S"
"bX7VR4l2Oeo","MEGA ANTI-IEBC DEMONSTRATIONS IN KISUMU TODAY 10/2/17","2017-10-02T15:37:55.000Z","Raila Odinga vs Uhuru Kenyatta 2017","PT45S"
"1K6ipyKZxkw","Mattis Issues New Orders To Military, Whats Under Full Review Has Liberals Stunned Speechless","2017-10-02T15:28:27.000Z","BREAKING NEWS TODAY","PT2M11S"
"ei_6JciHZhQ","What's your reaction to protests continued Sunday?","2017-10-02T15:17:00.000Z","NBA","PT14M55S"
"8SdfPwF-Bcs","Sheikh Rasheed Speech in National Assembly 2 October 2017 Destroyed Nawaz Sharif Amendment","2017-10-02T14:34:57.000Z","Talk Shows Point","PT24M48S"
"5Ku4r1NTDqw","Sheikh Rasheed Speech in National Assembly | 2 October 2017 | Pak News","2017-10-02T14:16:27.000Z","Power TV Talk Shows","PT9M18S"
"Ib0TNbm7B0E","President Uhuru defends Jubilee's push to amend election laws","2017-10-02T13:59:50.000Z","Kenya NTV","PT2M16S"
"a1uuKFcWLt0","Kalonzo faults Jubilee for push to amend election laws","2017-10-02T13:44:38.000Z","Kenya NTV","PT1M36S"
